model,prediction,ground truth,1-NED,difflib ratio
easyocr,hCTRI,hCTR1,0.8,0.8
easyocr,ATPIABF,ATP7A/B,0.5714285714285714,0.7142857142857143
easyocr,MRP2,MRP2,1.0,1.0
easyocr,Fas-L,Fas-L,1.0,1.0
easyocr,,Fas,0.0,0.0
easyocr,HER2,HER2,1.0,1.0
easyocr,PI3K,PI3K,1.0,1.0
easyocr,FADD,FADD,1.0,1.0
easyocr,GSTGSH,GST/GSH,0.8571428571428572,0.9230769230769231
easyocr,CASP?,CASP8,0.8,0.8
easyocr,[APXIAPH,IAP/XIAP,0.625,0.75
easyocr,PDK,PDK,1.0,1.0
easyocr,Akt,Akt,1.0,1.0
easyocr,,p21,0.0,0.0
easyocr,Bid,Bid,1.0,1.0
easyocr,ERK,ERK,1.0,1.0
easyocr,Bar,Bax,0.6666666666666667,0.6666666666666666
easyocr,,Bak,0.0,0.0
easyocr,Bad,Bad,1.0,1.0
easyocr,Bcl-XL,Bcl-XL,1.0,1.0
easyocr,Bcl- 2,Bcl-2,0.8333333333333334,0.9090909090909091
easyocr,NOXA,NOXA,1.0,1.0
easyocr,PUMA,PUMA,1.0,1.0
easyocr,MSH2,MSH2,1.0,1.0
easyocr,MSH3/6,MSH3/6,1.0,1.0
easyocr,POLH,POLH,1.0,1.0
easyocr,MLHI,MLH1,0.75,0.75
easyocr,REV3,REV3,1.0,1.0
easyocr,XPA,XPA,1.0,1.0
easyocr,ERCCL,ERCC1,0.8,0.8
easyocr,Topo-II,Topo-II,1.0,1.0
easyocr,BRCAI,BRCA1,0.8,0.8
easyocr,ATPIABJ,ATP7A/B,0.5714285714285714,0.7142857142857143
easyocr,[pl44RF,p14ARF,0.5714285714285714,0.6153846153846154
easyocr,MDM2,MDM2,1.0,1.0
easyocr,CASP3,CASP3,1.0,1.0
easyocr,4TM,ATM,0.6666666666666667,0.6666666666666666
easyocr,,Fas,0.0,0.0
easyocr,p5?,p53,0.6666666666666667,0.6666666666666666
