model,prediction,ground truth,1-NED,difflib ratio
google ocr,hCTR1,hCTR1,1.0,1.0
google ocr,ATP7AB,ATP7A/B,0.8571428571428572,0.9230769230769231
google ocr,MRP2,MRP2,1.0,1.0
google ocr,Fas-L,Fas-L,1.0,1.0
google ocr,Fas,Fas,1.0,1.0
google ocr,HER2,HER2,1.0,1.0
google ocr,РІЗК,PI3K,0.0,0.0
google ocr,FADD,FADD,1.0,1.0
google ocr,GSTIGSH,GST/GSH,0.8571428571428572,0.8571428571428571
google ocr,CASP8,CASP8,1.0,1.0
google ocr,IAPXIAP,IAP/XIAP,0.875,0.9333333333333333
google ocr,PDK,PDK,1.0,1.0
google ocr,Akt,Akt,1.0,1.0
google ocr,p21,p21,1.0,1.0
google ocr,Bid,Bid,1.0,1.0
google ocr,ERK,ERK,1.0,1.0
google ocr,Bax,Bax,1.0,1.0
google ocr,Bak,Bak,1.0,1.0
google ocr,Bad,Bad,1.0,1.0
google ocr,Bcl-XL,Bcl-XL,1.0,1.0
google ocr,Bcl-2,Bcl-2,1.0,1.0
google ocr,NOXA,NOXA,1.0,1.0
google ocr,PUMA,PUMA,1.0,1.0
google ocr,MSH2,MSH2,1.0,1.0
google ocr,MSH3/6,MSH3/6,1.0,1.0
google ocr,POLH,POLH,1.0,1.0
google ocr,MLH1,MLH1,1.0,1.0
google ocr,REV3,REV3,1.0,1.0
google ocr,ΧΡΑ,XPA,0.0,0.0
google ocr,ERCC1,ERCC1,1.0,1.0
google ocr,Topo-II,Topo-II,1.0,1.0
google ocr,BRCA1,BRCA1,1.0,1.0
google ocr,ATP7A/B,ATP7A/B,1.0,1.0
google ocr,p14ARF,p14ARF,1.0,1.0
google ocr,MDM2,MDM2,1.0,1.0
google ocr,CASP3,CASP3,1.0,1.0
google ocr,ATM,ATM,1.0,1.0
google ocr,Fas,Fas,1.0,1.0
google ocr,53,p53,0.6666666666666667,0.8
google ocr,Bax,Bax,1.0,1.0
google ocr,Bak,Bak,1.0,1.0
google ocr,CASP9,CASP9,1.0,1.0
google ocr,ASK1,ASK1,1.0,1.0
google ocr,CytC,CytC,1.0,1.0
google ocr,Apaf-1,Apaf-1,1.0,1.0
google ocr,NOXA,NOXA,1.0,1.0
google ocr,PUMA,PUMA,1.0,1.0
google ocr,rpo30,rpo30,1.0,1.0
google ocr,rpo132,rpo132,1.0,1.0
google ocr,Lodi,rpo7,0.0,0.25
google ocr,rpo22,rpo22,1.0,1.0
google ocr,rpo147,rpo147,1.0,1.0
google ocr,"rp
18",rpo18,0.8,0.8
google ocr,rpo19,rpo19,1.0,1.0
google ocr,B9,B9,1.0,1.0
google ocr,B2,B2,1.0,1.0
google ocr,M,M,1.0,1.0
google ocr,ABCS,ABC5,0.75,0.75
google ocr,B3,B3,1.0,1.0
google ocr,B11,B11,1.0,1.0
google ocr,ABC4,ABC4,1.0,1.0
google ocr,ABC3,ABC3,1.0,1.0
google ocr,ABC1,ABC1,1.0,1.0
google ocr,B1,B1,1.0,1.0
google ocr,ABC2,ABC2,1.0,1.0
google ocr,B4,B4,1.0,1.0
google ocr,B7,B7,1.0,1.0
google ocr,C10,C10,1.0,1.0
google ocr,C4,C4,1.0,1.0
google ocr,CS,C5,0.5,0.5
google ocr,ABCS,ABC5,0.75,0.75
google ocr,C2,C2,1.0,1.0
google ocr,AC2,ABC2,0.75,0.8571428571428571
google ocr,AC1,AC1,1.0,1.0
google ocr,ABC1,ABC1,1.0,1.0
google ocr,ABC4,ABC4,1.0,1.0
google ocr,ABC3,ABC3,1.0,1.0
google ocr,C1,C1,1.0,1.0
google ocr,C6,C6,1.0,1.0
google ocr,C7,C7,1.0,1.0
google ocr,C3,C3,1.0,1.0
google ocr,,C8,0.0,0.0
google ocr,C9,C9,1.0,1.0
google ocr,ABC2,ABC2,1.0,1.0
google ocr,A12,A12,1.0,1.0
google ocr,A34,A34,1.0,1.0
google ocr,A 49,A49,0.75,0.8571428571428571
google ocr,A2,A2,1.0,1.0
google ocr,ABCS,ABC5,0.75,0.75
google ocr,AC1,AC1,1.0,1.0
google ocr,ABC4,ABC4,1.0,1.0
google ocr,ABC3,ABC3,1.0,1.0
google ocr,AC2,AC2,1.0,1.0
google ocr,A1,A1,1.0,1.0
google ocr,ABC1,ABC1,1.0,1.0
google ocr,A43,A43,1.0,1.0
google ocr,ABC2,ABC2,1.0,1.0
google ocr,A14,A14,1.0,1.0
google ocr,B2,B2,1.0,1.0
google ocr,B3,B3,1.0,1.0
google ocr,B1,B1,1.0,1.0
google ocr,B11,B11,1.0,1.0
google ocr,B4,B4,1.0,1.0
google ocr,B7,B7,1.0,1.0
google ocr,B9,B9,1.0,1.0
google ocr,M,M,1.0,1.0
google ocr,C2,C2,1.0,1.0
google ocr,AC2,AC2,1.0,1.0
google ocr,C1,C1,1.0,1.0
google ocr,AC1,AC1,1.0,1.0
google ocr,C3,C3,1.0,1.0
google ocr,C7,C7,1.0,1.0
google ocr,C4,C4,1.0,1.0
google ocr,,C8,0.0,0.0
google ocr,C5,C5,1.0,1.0
google ocr,60,C9,0.0,0.0
google ocr,C6,C6,1.0,1.0
google ocr,C11,C11,1.0,1.0
google ocr,A2,A2,1.0,1.0
google ocr,AC2,AC2,1.0,1.0
google ocr,A1,A1,1.0,1.0
google ocr,AC1,AC1,1.0,1.0
google ocr,A12,A12,1.0,1.0
google ocr,A14,A14,1.0,1.0
google ocr,A34,A34,1.0,1.0
google ocr,A43,A43,1.0,1.0
google ocr,A49,A49,1.0,1.0
google ocr,D9,D9,1.0,1.0
google ocr,D2,D2,1.0,1.0
google ocr,RDR2,RDR2,1.0,1.0
google ocr,D10,D10,1.0,1.0
google ocr,D3,D3,1.0,1.0
google ocr,D12,D12,1.0,1.0
google ocr,DS,D5,0.5,0.5
google ocr,D1,D1,1.0,1.0
google ocr,D8,D8,1.0,1.0
google ocr,D11,D11,1.0,1.0
google ocr,D6,D6,1.0,1.0
google ocr,D7,D7,1.0,1.0
google ocr,D4,D4,1.0,1.0
google ocr,ABC1,ABC1,1.0,1.0
google ocr,ABC2,ABC2,1.0,1.0
google ocr,ABC3,ABC3,1.0,1.0
google ocr,ABC4,ABC4,1.0,1.0
google ocr,ABCS,ABC5,0.75,0.75
google ocr,DS/ES,D5/E5,0.6,0.6
google ocr,D6/E6,D6/E6,1.0,1.0
google ocr,D8/E8,D8/E8,1.0,1.0
google ocr,D12/E12,D12/E12,1.0,1.0
google ocr,D10/E10,D10/E10,1.0,1.0
google ocr,D1,D1,1.0,1.0
google ocr,El,E1,0.5,0.5
google ocr,D2/E2,D2/E2,1.0,1.0
google ocr,D7/E7,D7/E7,1.0,1.0
google ocr,RecJ,RecJ,1.0,1.0
google ocr,SSB,SSB,1.0,1.0
google ocr,RecJ,RecJ,1.0,1.0
google ocr,RecB,RecB,1.0,1.0
google ocr,RecC,RecC,1.0,1.0
google ocr,RecD,RecD,1.0,1.0
google ocr,SSB,SSB,1.0,1.0
google ocr,RecF,RecF,1.0,1.0
google ocr,RecA,RecA,1.0,1.0
google ocr,Reco,RecO,0.75,0.75
google ocr,RecR,RecR,1.0,1.0
google ocr,RecA,RecA,1.0,1.0
google ocr,RecFOR,RecFOR,1.0,1.0
google ocr,RecA,RecA,1.0,1.0
google ocr,Dpol,DpoI,0.75,0.75
google ocr,DpoIII,DpoIII,1.0,1.0
google ocr,RuvA,RuvA,1.0,1.0
google ocr,RuvB,RuvB,1.0,1.0
google ocr,RuvC,RuvC,1.0,1.0
google ocr,RecG,RecG,1.0,1.0
google ocr,RuvA,RuvA,1.0,1.0
google ocr,RuvB,RuvB,1.0,1.0
google ocr,RuvC,RuvC,1.0,1.0
google ocr,RecG,RecG,1.0,1.0
google ocr,PriA,PriA,1.0,1.0
google ocr,PriB,PriB,1.0,1.0
google ocr,Pric,PriC,0.75,0.75
google ocr,DnaT,DnaT,1.0,1.0
google ocr,PriA,PriA,1.0,1.0
