model,prediction,ground truth,1-NED,difflib ratio
keras,hctri,hCTR1,0.19999999999999996,0.2
keras,s,ATP7A/B,0.0,0.0
keras,mirfz,MRP2,0.0,0.0
keras,fast,Fas-L,0.4,0.4444444444444444
keras,fas,Fas,0.6666666666666667,0.6666666666666666
keras,herz,HER2,0.0,0.0
keras,fisk,PI3K,0.0,0.0
keras,fadd,FADD,0.0,0.0
keras,gstgsh,GST/GSH,0.0,0.0
keras,casps,CASP8,0.0,0.0
keras,lapixlap,IAP/XIAP,0.0,0.0
keras,pdk,PDK,0.0,0.0
keras,akt,Akt,0.6666666666666667,0.6666666666666666
keras,p21,p21,1.0,1.0
keras,bid,Bid,0.6666666666666667,0.6666666666666666
keras,efk,ERK,0.0,0.0
keras,bax,Bax,0.6666666666666667,0.6666666666666666
keras,bak,Bak,0.6666666666666667,0.6666666666666666
keras,bad,Bad,0.6666666666666667,0.6666666666666666
keras,bclxl,Bcl-XL,0.33333333333333337,0.36363636363636365
keras,bclz,Bcl-2,0.4,0.4444444444444444
keras,noxa,NOXA,0.0,0.0
keras,puma,PUMA,0.0,0.0
keras,mishz,MSH2,0.0,0.0
keras,mishsig,MSH3/6,0.0,0.0
keras,polh,POLH,0.0,0.0
keras,milhi,MLH1,0.0,0.0
keras,fevz,REV3,0.0,0.0
keras,xfa,XPA,0.0,0.0
keras,ercci,ERCC1,0.0,0.0
keras,topoi,Topo-II,0.4285714285714286,0.5
keras,brcal,BRCA1,0.0,0.0
keras,tptab,ATP7A/B,0.0,0.0
keras,plaarf,p14ARF,0.16666666666666663,0.16666666666666666
keras,midmiz,MDM2,0.0,0.0
keras,casps,CASP3,0.0,0.0
keras,atimi,ATM,0.0,0.0
keras,fas,Fas,0.6666666666666667,0.6666666666666666
keras,pe,p53,0.33333333333333337,0.4
keras,bax,Bax,0.6666666666666667,0.6666666666666666
keras,bak,Bak,0.6666666666666667,0.6666666666666666
keras,casps,CASP9,0.0,0.0
keras,aski,ASK1,0.0,0.0
keras,crtc,CytC,0.25,0.25
keras,apafl,Apaf-1,0.5,0.5454545454545454
keras,noxa,NOXA,0.0,0.0
keras,puma,PUMA,0.0,0.0
keras,pojo,rpo30,0.4,0.4444444444444444
keras,po13z,rpo132,0.6666666666666667,0.7272727272727273
keras,pot,rpo7,0.5,0.5714285714285714
keras,pozz,rpo22,0.4,0.4444444444444444
keras,pol4f,rpo147,0.5,0.5454545454545454
keras,po18,rpo18,0.8,0.8888888888888888
keras,pol9,rpo19,0.6,0.6666666666666666
keras,bo,B9,0.0,0.0
keras,bz,B2,0.0,0.0
keras,ivl,M,0.0,0.0
keras,abcs,ABC5,0.0,0.0
keras,bs,B3,0.0,0.0
keras,811,B11,0.6666666666666667,0.6666666666666666
keras,abca,ABC4,0.0,0.0
keras,abcs,ABC3,0.0,0.0
keras,abc1,ABC1,0.25,0.25
keras,b1,B1,0.5,0.5
keras,bcz,ABC2,0.0,0.0
keras,ba,B4,0.0,0.0
keras,bt,B7,0.0,0.0
keras,c10,C10,0.6666666666666667,0.6666666666666666
keras,,C4,0.0,0.0
keras,cs,C5,0.0,0.0
keras,abcs,ABC5,0.0,0.0
keras,,C2,0.0,0.0
keras,acz,ABC2,0.0,0.0
keras,ac1,AC1,0.33333333333333337,0.3333333333333333
