model,prediction,ground truth,1-NED,difflib ratio
mmocr ABINet,lctri,hCTR1,0.0,0.0
mmocr ABINet,atp7a,ATP7A/B,0.1428571428571429,0.16666666666666666
mmocr ABINet,mrp2,MRP2,0.25,0.25
mmocr ABINet,fasl,Fas-L,0.4,0.4444444444444444
mmocr ABINet,fas,Fas,0.6666666666666667,0.6666666666666666
mmocr ABINet,her2,HER2,0.25,0.25
mmocr ABINet,p13k,PI3K,0.25,0.25
mmocr ABINet,fadd,FADD,0.0,0.0
mmocr ABINet,gstgsh,GST/GSH,0.0,0.0
mmocr ABINet,casps,CASP8,0.0,0.0
mmocr ABINet,aapxip,IAP/XIAP,0.0,0.0
mmocr ABINet,pdk,PDK,0.0,0.0
mmocr ABINet,akt,Akt,0.6666666666666667,0.6666666666666666
mmocr ABINet,11,p21,0.33333333333333337,0.4
mmocr ABINet,bid,Bid,0.6666666666666667,0.6666666666666666
mmocr ABINet,erk,ERK,0.0,0.0
mmocr ABINet,bax,Bax,0.6666666666666667,0.6666666666666666
mmocr ABINet,bak,Bak,0.6666666666666667,0.6666666666666666
mmocr ABINet,bad,Bad,0.6666666666666667,0.6666666666666666
mmocr ABINet,bclxl,Bcl-XL,0.33333333333333337,0.36363636363636365
mmocr ABINet,bcl2,Bcl-2,0.6,0.6666666666666666
mmocr ABINet,noxa,NOXA,0.0,0.0
mmocr ABINet,puma,PUMA,0.0,0.0
mmocr ABINet,msh2,MSH2,0.25,0.25
mmocr ABINet,msh36,MSH3/6,0.33333333333333337,0.36363636363636365
mmocr ABINet,polh,POLH,0.0,0.0
mmocr ABINet,mlh1,MLH1,0.25,0.25
mmocr ABINet,rev3,REV3,0.25,0.25
mmocr ABINet,xpa,XPA,0.0,0.0
mmocr ABINet,ercc1,ERCC1,0.19999999999999996,0.2
mmocr ABINet,topo11,Topo-II,0.4285714285714286,0.46153846153846156
mmocr ABINet,brca1,BRCA1,0.19999999999999996,0.2
mmocr ABINet,atp7ab,ATP7A/B,0.1428571428571429,0.15384615384615385
mmocr ABINet,p14arf,p14ARF,0.5,0.5
mmocr ABINet,mdm2,MDM2,0.25,0.25
mmocr ABINet,casp3,CASP3,0.19999999999999996,0.2
mmocr ABINet,atm,ATM,0.0,0.0
mmocr ABINet,fas,Fas,0.6666666666666667,0.6666666666666666
mmocr ABINet,ps,p53,0.33333333333333337,0.4
mmocr ABINet,bax,Bax,0.6666666666666667,0.6666666666666666
mmocr ABINet,bak,Bak,0.6666666666666667,0.6666666666666666
mmocr ABINet,casp9,CASP9,0.19999999999999996,0.2
mmocr ABINet,aski,ASK1,0.0,0.0
mmocr ABINet,cyt,CytC,0.5,0.5714285714285714
mmocr ABINet,apaf1,Apaf-1,0.6666666666666667,0.7272727272727273
mmocr ABINet,noxa,NOXA,0.0,0.0
mmocr ABINet,puma,PUMA,0.0,0.0
mmocr ABINet,rp030,rpo30,0.8,0.8
mmocr ABINet,rpo132,rpo132,1.0,1.0
mmocr ABINet,rpo,rpo7,0.75,0.8571428571428571
mmocr ABINet,rp022,rpo22,0.8,0.8
mmocr ABINet,rpo147,rpo147,1.0,1.0
mmocr ABINet,rpo18,rpo18,1.0,1.0
mmocr ABINet,rpo19,rpo19,1.0,1.0
mmocr ABINet,19,B9,0.5,0.5
mmocr ABINet,b2,B2,0.5,0.5
mmocr ABINet,m,M,0.0,0.0
mmocr ABINet,abcs,ABC5,0.0,0.0
mmocr ABINet,b3,B3,0.5,0.5
mmocr ABINet,b11,B11,0.6666666666666667,0.6666666666666666
mmocr ABINet,abc4,ABC4,0.25,0.25
mmocr ABINet,abc3,ABC3,0.25,0.25
mmocr ABINet,abc1,ABC1,0.25,0.25
mmocr ABINet,b1,B1,0.5,0.5
mmocr ABINet,abc2,ABC2,0.25,0.25
mmocr ABINet,b4,B4,0.5,0.5
mmocr ABINet,b,B7,0.0,0.0
mmocr ABINet,c10,C10,0.6666666666666667,0.6666666666666666
mmocr ABINet,c4,C4,0.5,0.5
mmocr ABINet,c5,C5,0.5,0.5
mmocr ABINet,abcs,ABC5,0.0,0.0
mmocr ABINet,c2,C2,0.5,0.5
mmocr ABINet,ac2,ABC2,0.25,0.2857142857142857
mmocr ABINet,ac1,AC1,0.33333333333333337,0.3333333333333333
mmocr ABINet,abc1,ABC1,0.25,0.25
mmocr ABINet,abc4,ABC4,0.25,0.25
mmocr ABINet,abc3,ABC3,0.25,0.25
mmocr ABINet,c1,C1,0.5,0.5
mmocr ABINet,c6,C6,0.5,0.5
mmocr ABINet,c7,C7,0.5,0.5
mmocr ABINet,c3,C3,0.5,0.5
mmocr ABINet,c8,C8,0.5,0.5
mmocr ABINet,c9,C9,0.5,0.5
mmocr ABINet,abc2,ABC2,0.25,0.25
mmocr ABINet,a12,A12,0.6666666666666667,0.6666666666666666
mmocr ABINet,a34,A34,0.6666666666666667,0.6666666666666666
mmocr ABINet,449,A49,0.6666666666666667,0.6666666666666666
mmocr ABINet,a2,A2,0.5,0.5
mmocr ABINet,abcs,ABC5,0.0,0.0
mmocr ABINet,ac1,AC1,0.33333333333333337,0.3333333333333333
mmocr ABINet,abc4,ABC4,0.25,0.25
mmocr ABINet,abc3,ABC3,0.25,0.25
mmocr ABINet,ac2,AC2,0.33333333333333337,0.3333333333333333
mmocr ABINet,a1,A1,0.5,0.5
