model,char_recall,char_precision,word_acc,word_acc_ignore_case,word_acc_ignore_case_symbol,1-N.E.D
tesseract psm 0,0.0,0.0,0.0,0.0,0.0,0.0
tesseract psm 1,0.5546,0.8509,0.2286,0.2307,0.3292,0.5365
tesseract psm 2,0.0,0.0,0.0,0.0,0.0,0.0
tesseract psm 3,0.5546,0.8509,0.2286,0.2307,0.3292,0.5365
tesseract psm 4,0.6117,0.8454,0.2033,0.206,0.3306,0.5662
tesseract psm 5,0.0483,0.102,0.0,0.0,0.0,0.03
tesseract psm 6,0.7921,0.8371,0.36,0.3655,0.4702,0.782
tesseract psm 7,0.7951,0.8379,0.36,0.3655,0.4716,0.7849
tesseract psm 8,0.7953,0.8379,0.3409,0.3463,0.4668,0.7837
tesseract psm 9,0.7989,0.8382,0.3607,0.3669,0.4743,0.7879
tesseract psm 10,0.7889,0.8376,0.36,0.3655,0.4709,0.7812
tesseract psm 11,0.7383,0.8366,0.3258,0.3326,0.4162,0.7232
tesseract psm 12,0.7268,0.8379,0.3196,0.3272,0.4066,0.7131
tesseract psm 13,0.8136,0.832,0.3388,0.3443,0.4689,0.7977
easyocr,0.7819,0.87,0.3997,0.4045,0.4511,0.74
google ocr,0.9434,0.9616,0.8036,0.8234,0.8446,0.9315
keras,0.702,0.7184,0.0034,0.2635,0.2888,0.6962
mmocr ABINet,0.9464,0.9512,0.024,0.681,0.8131,0.9432
mmocr CRNN,0.7742,0.7797,0.0034,0.3265,0.3689,0.7695
mmocr CRNN_TPS,0.8049,0.7937,0.0075,0.3504,0.3977,0.7952
mmocr MASTER,0.917,0.9064,0.6441,0.6708,0.7221,0.9067
mmocr NRTR_1/16-1/8,0.9228,0.9017,0.6304,0.6742,0.7262,0.9058
mmocr NRTR_1/8-1/4,0.928,0.9159,0.6461,0.6879,0.7385,0.9163
mmocr RobustScanner,0.9505,0.9431,0.6899,0.7687,0.794,0.9392
mmocr SAR,0.9449,0.9354,0.6646,0.7502,0.783,0.936
mmocr SATRN,0.9376,0.9248,0.0335,0.7461,0.7775,0.9271
mmocr SATRN_sm,0.9158,0.9063,0.026,0.7221,0.7495,0.9094
mmocr SEG,0.9319,0.9289,0.0178,0.6256,0.7365,0.9224
