model,prediction,ground truth,1-NED,difflib ratio
tesseract psm 0,,hCTR1,0.0,0.0
tesseract psm 0,,ATP7A/B,0.0,0.0
tesseract psm 0,,MRP2,0.0,0.0
tesseract psm 0,,Fas-L,0.0,0.0
tesseract psm 0,,Fas,0.0,0.0
tesseract psm 0,,HER2,0.0,0.0
tesseract psm 0,,PI3K,0.0,0.0
tesseract psm 0,,FADD,0.0,0.0
tesseract psm 0,,GST/GSH,0.0,0.0
tesseract psm 0,,CASP8,0.0,0.0
tesseract psm 0,,IAP/XIAP,0.0,0.0
tesseract psm 0,,PDK,0.0,0.0
tesseract psm 0,,Akt,0.0,0.0
tesseract psm 0,,p21,0.0,0.0
tesseract psm 0,,Bid,0.0,0.0
tesseract psm 0,,ERK,0.0,0.0
tesseract psm 0,,Bax,0.0,0.0
tesseract psm 0,,Bak,0.0,0.0
tesseract psm 0,,Bad,0.0,0.0
tesseract psm 0,,Bcl-XL,0.0,0.0
tesseract psm 0,,Bcl-2,0.0,0.0
tesseract psm 0,,NOXA,0.0,0.0
tesseract psm 0,,PUMA,0.0,0.0
tesseract psm 0,,MSH2,0.0,0.0
tesseract psm 0,,MSH3/6,0.0,0.0
tesseract psm 0,,POLH,0.0,0.0
tesseract psm 0,,MLH1,0.0,0.0
tesseract psm 0,,REV3,0.0,0.0
tesseract psm 0,,XPA,0.0,0.0
tesseract psm 0,,ERCC1,0.0,0.0
tesseract psm 0,,Topo-II,0.0,0.0
tesseract psm 0,,BRCA1,0.0,0.0
tesseract psm 0,,ATP7A/B,0.0,0.0
tesseract psm 0,,p14ARF,0.0,0.0
tesseract psm 0,,MDM2,0.0,0.0
tesseract psm 0,,CASP3,0.0,0.0
tesseract psm 0,,ATM,0.0,0.0
tesseract psm 0,,Fas,0.0,0.0
tesseract psm 0,,p53,0.0,0.0
tesseract psm 0,,Bax,0.0,0.0
tesseract psm 0,,Bak,0.0,0.0
tesseract psm 0,,CASP9,0.0,0.0
tesseract psm 0,,ASK1,0.0,0.0
tesseract psm 0,,CytC,0.0,0.0
tesseract psm 0,,Apaf-1,0.0,0.0
tesseract psm 0,,NOXA,0.0,0.0
tesseract psm 0,,PUMA,0.0,0.0
tesseract psm 0,,rpo30,0.0,0.0
tesseract psm 0,,rpo132,0.0,0.0
tesseract psm 0,,rpo7,0.0,0.0
tesseract psm 0,,rpo22,0.0,0.0
tesseract psm 0,,rpo147,0.0,0.0
tesseract psm 0,,rpo18,0.0,0.0
tesseract psm 0,,rpo19,0.0,0.0
tesseract psm 0,,B9,0.0,0.0
tesseract psm 0,,B2,0.0,0.0
tesseract psm 0,,M,0.0,0.0
tesseract psm 0,,ABC5,0.0,0.0
tesseract psm 0,,B3,0.0,0.0
tesseract psm 0,,B11,0.0,0.0
tesseract psm 0,,ABC4,0.0,0.0
tesseract psm 0,,ABC3,0.0,0.0
tesseract psm 0,,ABC1,0.0,0.0
tesseract psm 0,,B1,0.0,0.0
tesseract psm 0,,ABC2,0.0,0.0
tesseract psm 0,,B4,0.0,0.0
tesseract psm 0,,B7,0.0,0.0
tesseract psm 0,,C10,0.0,0.0
tesseract psm 0,,C4,0.0,0.0
tesseract psm 0,,C5,0.0,0.0
tesseract psm 0,,ABC5,0.0,0.0
tesseract psm 0,,C2,0.0,0.0
tesseract psm 0,,ABC2,0.0,0.0
tesseract psm 0,,AC1,0.0,0.0
tesseract psm 0,,ABC1,0.0,0.0
tesseract psm 0,,ABC4,0.0,0.0
tesseract psm 0,,ABC3,0.0,0.0
tesseract psm 0,,C1,0.0,0.0
tesseract psm 0,,C6,0.0,0.0
tesseract psm 0,,C7,0.0,0.0
tesseract psm 0,,C3,0.0,0.0
tesseract psm 0,,C8,0.0,0.0
tesseract psm 0,,C9,0.0,0.0
tesseract psm 0,,ABC2,0.0,0.0
tesseract psm 0,,A12,0.0,0.0
tesseract psm 0,,A34,0.0,0.0
tesseract psm 0,,A49,0.0,0.0
tesseract psm 0,,A2,0.0,0.0
tesseract psm 0,,ABC5,0.0,0.0
tesseract psm 0,,AC1,0.0,0.0
tesseract psm 0,,ABC4,0.0,0.0
tesseract psm 0,,ABC3,0.0,0.0
tesseract psm 0,,AC2,0.0,0.0
