model,char_recall,char_precision,word_acc,word_acc_ignore_case,word_acc_ignore_case_symbol,1-N.E.D
tesseract psm 0,0.0,0.0,0.0,0.0,0.0053,0.0053
tesseract psm 1,0.4806,0.9316,0.1261,0.1261,0.2131,0.3085
tesseract psm 2,0.0,0.0,0.0,0.0,0.0053,0.0053
tesseract psm 3,0.4806,0.9316,0.1261,0.1261,0.2131,0.3085
tesseract psm 4,0.483,0.9341,0.1243,0.1243,0.2131,0.3136
tesseract psm 5,0.0909,0.1975,0.0,0.0,0.0036,0.0513
tesseract psm 6,0.8319,0.8672,0.325,0.3321,0.4405,0.7329
tesseract psm 7,0.7228,0.8407,0.3268,0.3339,0.4121,0.6981
tesseract psm 8,0.7258,0.8407,0.3144,0.3215,0.4085,0.7021
tesseract psm 9,0.5096,0.8126,0.2256,0.2327,0.2735,0.5196
tesseract psm 10,0.7028,0.8462,0.3268,0.3339,0.4139,0.6934
tesseract psm 11,0.7321,0.8825,0.2451,0.2469,0.3464,0.613
tesseract psm 12,0.7374,0.8788,0.2398,0.2416,0.3428,0.6077
tesseract psm 13,0.7578,0.8006,0.3126,0.3197,0.4067,0.7031
easyocr,0.6788,0.9172,0.3357,0.3499,0.3801,0.6351
google ocr,0.9584,0.9709,0.7105,0.7211,0.7904,0.8969
keras,0.6217,0.8813,0.016,0.2522,0.2824,0.6087
mmocr ABINet,0.8484,0.9323,0.0391,0.4991,0.6732,0.861
mmocr CRNN,0.7572,0.8606,0.0355,0.3623,0.4529,0.7692
mmocr CRNN_TPS,0.77,0.8496,0.0355,0.3677,0.4387,0.7763
mmocr MASTER,0.8469,0.8999,0.5613,0.595,0.6767,0.8526
mmocr NRTR_1/16-1/8,0.8448,0.9154,0.5648,0.5844,0.6821,0.858
mmocr NRTR_1/8-1/4,0.8469,0.9138,0.5631,0.5861,0.6803,0.8536
mmocr RobustScanner,0.86,0.9245,0.5417,0.6181,0.7069,0.8762
mmocr SAR,0.8648,0.9332,0.508,0.6163,0.6963,0.8762
mmocr SATRN,0.852,0.9326,0.048,0.6217,0.6998,0.8664
mmocr SATRN_sm,0.8469,0.9127,0.0373,0.5986,0.6838,0.855
mmocr SEG,0.8529,0.9366,0.0391,0.4991,0.6838,0.8683
