model,prediction,ground truth,1-NED,difflib ratio
easyocr,TMC3-AS1,TMC3-AS1,1.0,1.0
easyocr,RNZSKP68,RN7SKP68,0.875,0.875
easyocr,NAPA,NAPA,1.0,1.0
easyocr,TRL-AAG1-1,TRL-AAG1-1,1.0,1.0
easyocr,LINC02544,LINC02544,1.0,1.0
easyocr,LINC02093,LINC02093,1.0,1.0
easyocr,MIR708,MIR708,1.0,1.0
easyocr,PDC,PDC,1.0,1.0
easyocr,RNU6-538P,RNU6-538P,1.0,1.0
easyocr,CCNB2,CCNB2,1.0,1.0
easyocr,LINCO0412,LINC00412,0.8888888888888888,0.8888888888888888
easyocr,MRTO4,MRTO4,1.0,1.0
easyocr,ORI1A1,OR11A1,0.8333333333333334,0.8333333333333334
easyocr,MIR5191,MIR5191,1.0,1.0
easyocr,ST13P12,ST13P12,1.0,1.0
easyocr,RNU6-14P,RNU6-14P,1.0,1.0
easyocr,PI4KB,PI4KB,1.0,1.0
easyocr,HHLA3,HHLA3,1.0,1.0
easyocr,SUPT4H1,SUPT4H1,1.0,1.0
easyocr,ELOVLI,ELOVL1,0.8333333333333334,0.8333333333333334
easyocr,PPIAP36,PPIAP36,1.0,1.0
easyocr,CPSF3,CPSF3,1.0,1.0
easyocr,RPL19PS,RPL19P5,0.8571428571428572,0.8571428571428571
easyocr,FMNL2,FMNL2,1.0,1.0
easyocr,TMC8,TMC8,1.0,1.0
easyocr,RNZSL321P,RN7SL321P,0.8888888888888888,0.8888888888888888
easyocr,TCF21,TCF21,1.0,1.0
easyocr,RNASSP485,RNA5SP485,0.8888888888888888,0.8888888888888888
easyocr,RNU6-896P,RNU6-896P,1.0,1.0
easyocr,LAPTM4A-DT,LAPTM4A-DT,1.0,1.0
easyocr,RNASSP141,RNA5SP141,0.8888888888888888,0.8888888888888888
easyocr,PANDAR,PANDAR,1.0,1.0
easyocr,LINCO1402,LINC01402,0.8888888888888888,0.8888888888888888
easyocr,CUXZP2,CUX2P2,0.8333333333333334,0.8333333333333334
easyocr,RNU6-1038P,RNU6-1038P,1.0,1.0
easyocr,POM121B,POM121B,1.0,1.0
easyocr,MTREX,MTREX,1.0,1.0
easyocr,RNZSL113P,RN7SL113P,0.8888888888888888,0.8888888888888888
easyocr,WASF3,WASF3,1.0,1.0
easyocr,CERS2,CERS2,1.0,1.0
easyocr,MYL6P1,MYL6P1,1.0,1.0
easyocr,GAS2L2,GAS2L2,1.0,1.0
easyocr,PRRT3,PRRT3,1.0,1.0
easyocr,RNU6ATAC13P,RNU6ATAC13P,1.0,1.0
easyocr,MT-TY,MT-TY,1.0,1.0
easyocr,MOB4P1,MOB4P1,1.0,1.0
easyocr,CYCSP14,CYCSP14,1.0,1.0
easyocr,APOBEC3H,APOBEC3H,1.0,1.0
easyocr,DNMIP9,DNM1P9,0.8333333333333334,0.8333333333333334
