model,prediction,ground truth,1-NED,difflib ratio
google ocr,TMC3-AS1,TMC3-AS1,1.0,1.0
google ocr,RN7SKP68,RN7SKP68,1.0,1.0
google ocr,ΝΑΡΑ,NAPA,0.0,0.0
google ocr,TRL-AAG1-1,TRL-AAG1-1,1.0,1.0
google ocr,LINC02544,LINC02544,1.0,1.0
google ocr,LINC02093,LINC02093,1.0,1.0
google ocr,MIR708,MIR708,1.0,1.0
google ocr,PDC,PDC,1.0,1.0
google ocr,RNU6-538P,RNU6-538P,1.0,1.0
google ocr,CCNB2,CCNB2,1.0,1.0
google ocr,LINC00412,LINC00412,1.0,1.0
google ocr,MRTO4,MRTO4,1.0,1.0
google ocr,OR11A1,OR11A1,1.0,1.0
google ocr,MIR5191,MIR5191,1.0,1.0
google ocr,ST13P12,ST13P12,1.0,1.0
google ocr,RNU6-14P,RNU6-14P,1.0,1.0
google ocr,PI4KB,PI4KB,1.0,1.0
google ocr,HHLA3,HHLA3,1.0,1.0
google ocr,SUPT4H1,SUPT4H1,1.0,1.0
google ocr,ELOVL1,ELOVL1,1.0,1.0
google ocr,PPIAP36,PPIAP36,1.0,1.0
google ocr,CPSF3,CPSF3,1.0,1.0
google ocr,RPL19P5,RPL19P5,1.0,1.0
google ocr,FMNL2,FMNL2,1.0,1.0
google ocr,TMC8,TMC8,1.0,1.0
google ocr,RN7SL321P,RN7SL321P,1.0,1.0
google ocr,TCF21,TCF21,1.0,1.0
google ocr,RNA5SP485,RNA5SP485,1.0,1.0
google ocr,RNU6-896P,RNU6-896P,1.0,1.0
google ocr,LAPTM4A-DT,LAPTM4A-DT,1.0,1.0
google ocr,RNA5SP141,RNA5SP141,1.0,1.0
google ocr,PANDAR,PANDAR,1.0,1.0
google ocr,LINC01402,LINC01402,1.0,1.0
google ocr,CUX2P2,CUX2P2,1.0,1.0
google ocr,RNU6-1038P,RNU6-1038P,1.0,1.0
google ocr,POM121B,POM121B,1.0,1.0
google ocr,MTREX,MTREX,1.0,1.0
google ocr,RN7SL113P,RN7SL113P,1.0,1.0
google ocr,WASF3,WASF3,1.0,1.0
google ocr,CERS2,CERS2,1.0,1.0
google ocr,MYL6P1,MYL6P1,1.0,1.0
google ocr,GAS2L2,GAS2L2,1.0,1.0
