model,prediction,ground truth,1-NED,difflib ratio
keras,tmcbas1,TMC3-AS1,0.125,0.13333333333333333
keras,rnzskp66,RN7SKP68,0.125,0.125
keras,napa,NAPA,0.0,0.0
keras,trlaagi1,TRL-AAG1-1,0.09999999999999998,0.1111111111111111
keras,linco2544,LINC02544,0.4444444444444444,0.4444444444444444
keras,linco2093,LINC02093,0.4444444444444444,0.4444444444444444
keras,mirzo8,MIR708,0.16666666666666663,0.16666666666666666
keras,pdc,PDC,0.0,0.0
keras,rnu6538p,RNU6-538P,0.4444444444444444,0.47058823529411764
keras,ccnbz,CCNB2,0.0,0.0
keras,linco0412,LINC00412,0.4444444444444444,0.4444444444444444
keras,mrtoa,MRTO4,0.0,0.0
keras,0r1141,OR11A1,0.5,0.5
keras,mir5191,MIR5191,0.5714285714285714,0.5714285714285714
keras,st13p12,ST13P12,0.5714285714285714,0.5714285714285714
keras,rnu61,RNU6-14P,0.25,0.3076923076923077
keras,plakb,PI4KB,0.0,0.0
keras,hala3,HHLA3,0.19999999999999996,0.2
keras,suptah1,SUPT4H1,0.1428571428571429,0.14285714285714285
keras,elovli,ELOVL1,0.0,0.0
keras,ppiap36,PPIAP36,0.2857142857142857,0.2857142857142857
keras,cpsf3,CPSF3,0.19999999999999996,0.2
keras,rpl19p5,RPL19P5,0.4285714285714286,0.42857142857142855
keras,fmnlz,FMNL2,0.0,0.0
keras,tmcs,TMC8,0.0,0.0
keras,rnzsl321p,RN7SL321P,0.33333333333333337,0.3333333333333333
keras,tcf21,TCF21,0.4,0.4
keras,rnasspa85,RNA5SP485,0.2222222222222222,0.2222222222222222
keras,rnu6896p,RNU6-896P,0.4444444444444444,0.47058823529411764
keras,laptmaadt,LAPTM4A-DT,0.0,0.0
keras,rnassp141,RNA5SP141,0.33333333333333337,0.3333333333333333
keras,pandar,PANDAR,0.0,0.0
keras,linco1,LINC01402,0.11111111111111116,0.13333333333333333
keras,cuxzpz,CUX2P2,0.0,0.0
keras,rnu61038p,RNU6-1038P,0.5,0.5263157894736842
keras,pom121b,POM121B,0.4285714285714286,0.42857142857142855
keras,mtrex,MTREX,0.0,0.0
keras,rnzsli13p,RN7SL113P,0.2222222222222222,0.2222222222222222
keras,wasfy,WASF3,0.0,0.0
keras,cers2,CERS2,0.19999999999999996,0.2
keras,mylgp1,MYL6P1,0.16666666666666663,0.16666666666666666
keras,gaszlz,GAS2L2,0.0,0.0
keras,prrt3,PRRT3,0.19999999999999996,0.2
keras,rnugatac13p,RNU6ATAC13P,0.18181818181818177,0.18181818181818182
keras,mtty,MT-TY,0.0,0.0
keras,mobap1,MOB4P1,0.16666666666666663,0.16666666666666666
keras,cycsp14,CYCSP14,0.2857142857142857,0.2857142857142857
keras,apobecyh,APOBEC3H,0.0,0.0
keras,dnmipg,DNM1P9,0.0,0.0
keras,ervw28,ERVW-28,0.2857142857142857,0.3076923076923077
keras,phkatas1,PHKA1-AS1,0.11111111111111116,0.11764705882352941
keras,mcub,MCUB,0.0,0.0
keras,nrtn,NRTN,0.0,0.0
keras,klhlzo,KLHL20,0.0,0.0
keras,linco21,LINC02148,0.2222222222222222,0.25
keras,vdacipg,VDAC1P9,0.0,0.0
keras,mindy2dt,MINDY2-DT,0.11111111111111116,0.11764705882352941
keras,polr3kpz,POLR3KP2,0.125,0.125
keras,ntse,NT5E,0.0,0.0
keras,atosbp1,ATOSBP1,0.1428571428571429,0.14285714285714285
keras,rplgp2,RPL9P2,0.16666666666666663,0.16666666666666666
keras,scubei,SCUBE1,0.0,0.0
keras,hcgip5,HCG9P5,0.16666666666666663,0.16666666666666666
keras,mir323b,MIR323B,0.4285714285714286,0.42857142857142855
keras,septint,SEPTIN14P23,0.0,0.0
keras,pitpinci,PITPNC1,0.0,0.0
keras,mira24,MIR424,0.33333333333333337,0.3333333333333333
keras,arhgefa,ARHGEF4,0.0,0.0
keras,plekhaz,PLEKHA2,0.0,0.0
keras,lonpi,LONP1,0.0,0.0
keras,mir3194,MIR3194,0.5714285714285714,0.5714285714285714
keras,oscar,OSCAR,0.0,0.0
keras,folr3,FOLR3,0.19999999999999996,0.2
keras,klhdca,KLHDC4,0.0,0.0
keras,washc1,WASHC1,0.16666666666666663,0.16666666666666666
keras,rpli8p8,RPL18P8,0.2857142857142857,0.2857142857142857
keras,actgi1p25,ACTG1P25,0.33333333333333337,0.35294117647058826
keras,lgmn,LGMN,0.0,0.0
keras,p2ry13,P2RY13,0.5,0.5
keras,linco2210,LINC02210,0.4444444444444444,0.4444444444444444
keras,tenm2as1,TENM2-AS1,0.2222222222222222,0.23529411764705882
keras,rplzap52,RPL7AP52,0.25,0.25
keras,eifijdt,EIF3J-DT,0.0,0.0
keras,lin37,LIN37,0.4,0.4
keras,uvrag,UVRAG,0.0,0.0
keras,klhly1,KLHL31,0.16666666666666663,0.16666666666666666
keras,bclzliast,BCL2L1-AS1,0.0,0.0
keras,hs6st1p1,HS6ST1P1,0.375,0.375
keras,fam199yp,FAM199YP,0.375,0.375
keras,pirc13,PIRC13,0.33333333333333337,0.3333333333333333
keras,lincoo343,LINC00343,0.33333333333333337,0.3333333333333333
keras,mir4439,MIR4439,0.5714285714285714,0.5714285714285714
keras,znf6o8,ZNF608,0.33333333333333337,0.3333333333333333
