model,prediction,ground truth,1-NED,difflib ratio
mmocr ABINet,tmc3as1,TMC3-AS1,0.25,0.26666666666666666
mmocr ABINet,rn7skp68,RN7SKP68,0.375,0.375
mmocr ABINet,napa,NAPA,0.0,0.0
mmocr ABINet,trlaag11,TRL-AAG1-1,0.19999999999999996,0.2222222222222222
mmocr ABINet,linco2544,LINC02544,0.4444444444444444,0.4444444444444444
mmocr ABINet,linco2093,LINC02093,0.4444444444444444,0.4444444444444444
mmocr ABINet,mir708,MIR708,0.5,0.5
mmocr ABINet,pdc,PDC,0.0,0.0
mmocr ABINet,rnu6538p,RNU6-538P,0.4444444444444444,0.47058823529411764
mmocr ABINet,ccnb2,CCNB2,0.19999999999999996,0.2
mmocr ABINet,linc00412,LINC00412,0.5555555555555556,0.5555555555555556
mmocr ABINet,mrto4,MRTO4,0.19999999999999996,0.2
mmocr ABINet,or11a1,OR11A1,0.5,0.5
mmocr ABINet,mir5191,MIR5191,0.5714285714285714,0.5714285714285714
mmocr ABINet,st13p12,ST13P12,0.5714285714285714,0.5714285714285714
mmocr ABINet,rnu614p,RNU6-14P,0.375,0.4
mmocr ABINet,p14kb,PI4KB,0.19999999999999996,0.2
mmocr ABINet,hhla3,HHLA3,0.19999999999999996,0.2
mmocr ABINet,supt4h1,SUPT4H1,0.2857142857142857,0.2857142857142857
mmocr ABINet,elovl1,ELOVL1,0.16666666666666663,0.16666666666666666
mmocr ABINet,ppiap36,PPIAP36,0.2857142857142857,0.2857142857142857
mmocr ABINet,cpsf3,CPSF3,0.19999999999999996,0.2
mmocr ABINet,rpl19p5,RPL19P5,0.4285714285714286,0.42857142857142855
mmocr ABINet,fmnl2,FMNL2,0.19999999999999996,0.2
mmocr ABINet,tmc8,TMC8,0.25,0.25
mmocr ABINet,rn7sl321p,RN7SL321P,0.4444444444444444,0.4444444444444444
mmocr ABINet,tcf21,TCF21,0.4,0.4
mmocr ABINet,rna5sp485,RNA5SP485,0.4444444444444444,0.4444444444444444
mmocr ABINet,rnu6896p,RNU6-896P,0.4444444444444444,0.47058823529411764
mmocr ABINet,laptm4adt,LAPTM4A-DT,0.09999999999999998,0.10526315789473684
mmocr ABINet,rna5sp141,RNA5SP141,0.4444444444444444,0.4444444444444444
mmocr ABINet,pandar,PANDAR,0.0,0.0
mmocr ABINet,linc01402,LINC01402,0.5555555555555556,0.5555555555555556
mmocr ABINet,cux2p2,CUX2P2,0.33333333333333337,0.3333333333333333
mmocr ABINet,rnu61038p,RNU6-1038P,0.5,0.5263157894736842
mmocr ABINet,pom121b,POM121B,0.4285714285714286,0.42857142857142855
mmocr ABINet,mtrex,MTREX,0.0,0.0
mmocr ABINet,rn7sl113p,RN7SL113P,0.4444444444444444,0.4444444444444444
