model,prediction,ground truth,1-NED,difflib ratio
tesseract psm 0,,TMC3-AS1,0.0,0.0
tesseract psm 0,,RN7SKP68,0.0,0.0
tesseract psm 0,,NAPA,0.0,0.0
tesseract psm 0,,TRL-AAG1-1,0.0,0.0
tesseract psm 0,,LINC02544,0.0,0.0
tesseract psm 0,,LINC02093,0.0,0.0
tesseract psm 0,,MIR708,0.0,0.0
tesseract psm 0,,PDC,0.0,0.0
tesseract psm 0,,RNU6-538P,0.0,0.0
tesseract psm 0,,CCNB2,0.0,0.0
tesseract psm 0,,LINC00412,0.0,0.0
tesseract psm 0,,MRTO4,0.0,0.0
tesseract psm 0,,OR11A1,0.0,0.0
tesseract psm 0,,MIR5191,0.0,0.0
tesseract psm 0,,ST13P12,0.0,0.0
tesseract psm 0,,RNU6-14P,0.0,0.0
tesseract psm 0,,PI4KB,0.0,0.0
tesseract psm 0,,HHLA3,0.0,0.0
tesseract psm 0,,SUPT4H1,0.0,0.0
tesseract psm 0,,ELOVL1,0.0,0.0
tesseract psm 0,,PPIAP36,0.0,0.0
tesseract psm 0,,CPSF3,0.0,0.0
tesseract psm 0,,RPL19P5,0.0,0.0
tesseract psm 0,,FMNL2,0.0,0.0
tesseract psm 0,,TMC8,0.0,0.0
tesseract psm 0,,RN7SL321P,0.0,0.0
tesseract psm 0,,TCF21,0.0,0.0
tesseract psm 0,,RNA5SP485,0.0,0.0
tesseract psm 0,,RNU6-896P,0.0,0.0
tesseract psm 0,,LAPTM4A-DT,0.0,0.0
tesseract psm 0,,RNA5SP141,0.0,0.0
tesseract psm 0,,PANDAR,0.0,0.0
tesseract psm 0,,LINC01402,0.0,0.0
tesseract psm 0,,CUX2P2,0.0,0.0
tesseract psm 0,,RNU6-1038P,0.0,0.0
tesseract psm 0,,POM121B,0.0,0.0
tesseract psm 0,,MTREX,0.0,0.0
tesseract psm 0,,RN7SL113P,0.0,0.0
tesseract psm 0,,WASF3,0.0,0.0
tesseract psm 0,,CERS2,0.0,0.0
tesseract psm 0,,MYL6P1,0.0,0.0
tesseract psm 0,,GAS2L2,0.0,0.0
tesseract psm 0,,PRRT3,0.0,0.0
tesseract psm 0,,RNU6ATAC13P,0.0,0.0
tesseract psm 0,,MT-TY,0.0,0.0
tesseract psm 0,,MOB4P1,0.0,0.0
tesseract psm 0,,CYCSP14,0.0,0.0
tesseract psm 0,,APOBEC3H,0.0,0.0
tesseract psm 0,,DNM1P9,0.0,0.0
tesseract psm 0,,ERVW-28,0.0,0.0
tesseract psm 0,,PHKA1-AS1,0.0,0.0
