model,image,prediction,ground truth,1-NED,difflib ratio,difficult image
easyocr,0,,TLE1-DT,0.0,0.0,
easyocr,1,,ZNF484,0.0,0.0,
easyocr,2,VCAN,VCAN,1.0,1.0,
easyocr,3,,RNU6-260P,0.0,0.0,
easyocr,4,IATN?,MATN2,0.6,0.6,
easyocr,5,,USP45,0.0,0.0,
easyocr,6,,RPL23AP12,0.0,0.0,
easyocr,7,GAPT,GAPT,1.0,1.0,
easyocr,8,HZALIMA,H2AL1MP,0.5714285714285714,0.5714285714285714,
easyocr,9,,COA6,0.0,0.0,yes
easyocr,10,,MATR3P1,0.0,0.0,
easyocr,11,,SOAT2,0.0,0.0,
easyocr,12,LTO1,LTO1,1.0,1.0,
easyocr,13,,COMMD5,0.0,0.0,
easyocr,14,,ADPGK-AS1,0.0,0.0,
easyocr,15,Dasic,DSG1-AS1,0.125,0.15384615384615385,
easyocr,16,,RNA5SP480,0.0,0.0,
easyocr,17,,LINC01070,0.0,0.0,
easyocr,18,,LINC01785,0.0,0.0,
easyocr,19,,MVK,0.0,0.0,
easyocr,20,,PANK1,0.0,0.0,
easyocr,21,,ERCC6,0.0,0.0,
easyocr,22,,RPL29P6,0.0,0.0,yes
easyocr,23,,TAS2R62P,0.0,0.0,
easyocr,24,,RAD54L2P1,0.0,0.0,
easyocr,25,,DNAJC3-DT,0.0,0.0,yes
easyocr,26,RNZSL6O2P,RN7SL602P,0.7777777777777778,0.7777777777777778,
easyocr,27,PLEKHNT,PLEKHN1,0.8571428571428572,0.8571428571428571,
easyocr,28,AANKKRD44,ANKRD44,0.7777777777777778,0.875,
easyocr,29,RNU6-4P,RNU6-4P,1.0,1.0,
easyocr,30,,ADGRE4P,0.0,0.0,
easyocr,31,MANSC1,MANSC1,1.0,1.0,
easyocr,32,RNZSLGOD,RN7SL50P,0.5,0.5,
easyocr,33,HMMGNIP27,HMGN1P27,0.7777777777777778,0.8235294117647058,
easyocr,34,(VIIRSZUA,MIR520A,0.33333333333333337,0.375,
easyocr,35,t . :,SLC20A1P1,0.0,0.0,
easyocr,36,,MIR1290,0.0,0.0,yes
easyocr,37,,OR1R1P,0.0,0.0,
easyocr,38,OPRDI,OPRD1,0.8,0.8,
easyocr,39,MYOTA,MYO1A,0.8,0.8,
easyocr,40,TBXZ,TBX2,0.75,0.75,
easyocr,41,RAMACL,RAMACL,1.0,1.0,
