model,image,prediction,ground truth,1-NED,difflib ratio,difficult image
google ocr,0,TLEI-DT,TLE1-DT,0.8571428571428572,0.8571428571428571,
google ocr,1,7873NZ,ZNF484,0.0,0.16666666666666666,
google ocr,2,VCAN,VCAN,1.0,1.0,
google ocr,3,INU6-260,RNU6-260P,0.7777777777777778,0.8235294117647058,
google ocr,4,ΜΑΤΙΝΟ,MATN2,0.0,0.0,
google ocr,5,S,USP45,0.19999999999999996,0.3333333333333333,
google ocr,6,PPL23-P12,RPL23AP12,0.7777777777777778,0.7777777777777778,
google ocr,7,GAPT,GAPT,1.0,1.0,
google ocr,8,H2AL1MP,H2AL1MP,1.0,1.0,
google ocr,9,,COA6,0.0,0.0,yes
google ocr,10,,MATR3P1,0.0,0.0,
google ocr,11,SOATZ,SOAT2,0.8,0.8,
google ocr,12,LTO1,LTO1,1.0,1.0,
google ocr,13,MD5,COMMD5,0.5,0.6666666666666666,
google ocr,14,ADPGK-ASI,ADPGK-AS1,0.8888888888888888,0.8888888888888888,
google ocr,15,DSGI-ASI,DSG1-AS1,0.75,0.75,
google ocr,16,INIA5SPA80,RNA5SP480,0.7,0.7368421052631579,
google ocr,17,01070,LINC01070,0.5555555555555556,0.7142857142857143,
google ocr,18,,LINC01785,0.0,0.0,
google ocr,19,MVK,MVK,1.0,1.0,
google ocr,20,,PANK1,0.0,0.0,
google ocr,21,ERCC6,ERCC6,1.0,1.0,
google ocr,22,,RPL29P6,0.0,0.0,yes
google ocr,23,TAS2R62P,TAS2R62P,1.0,1.0,
google ocr,24,RAD54L2PT,RAD54L2P1,0.8888888888888888,0.8888888888888888,
google ocr,25,,DNAJC3-DT,0.0,0.0,yes
google ocr,26,RN7SL602P,RN7SL602P,1.0,1.0,
google ocr,27,PLEKHN1,PLEKHN1,1.0,1.0,
google ocr,28,ANKRD44,ANKRD44,1.0,1.0,
google ocr,29,RNU6-4P,RNU6-4P,1.0,1.0,
google ocr,30,DGRE!,ADGRE4P,0.5714285714285714,0.6666666666666666,
google ocr,31,MANSC1,MANSC1,1.0,1.0,
google ocr,32,RN7SL50P,RN7SL50P,1.0,1.0,
google ocr,33,HMGN1P27,HMGN1P27,1.0,1.0,
google ocr,34,MIR520A,MIR520A,1.0,1.0,
google ocr,35,SLC20A1P1,SLC20A1P1,1.0,1.0,
google ocr,36,,MIR1290,0.0,0.0,yes
google ocr,37,ORIRIP,OR1R1P,0.6666666666666667,0.6666666666666666,
google ocr,38,OPRD1,OPRD1,1.0,1.0,
