model,image,prediction,ground truth,1-NED,difflib ratio,difficult image
keras,0,,TLE1-DT,0.0,0.0,
keras,1,,ZNF484,0.0,0.0,
keras,2,vcan,VCAN,0.0,0.0,
keras,3,,RNU6-260P,0.0,0.0,
keras,4,atin2,MATN2,0.19999999999999996,0.2,
keras,5,uspas,USP45,0.0,0.0,
keras,6,,RPL23AP12,0.0,0.0,
keras,7,gapt,GAPT,0.0,0.0,
keras,8,hzalimp,H2AL1MP,0.0,0.0,
keras,9,,COA6,0.0,0.0,yes
keras,10,,MATR3P1,0.0,0.0,
keras,11,,SOAT2,0.0,0.0,
keras,12,to1,LTO1,0.25,0.2857142857142857,
keras,13,vl,COMMD5,0.0,0.0,
keras,14,,ADPGK-AS1,0.0,0.0,
keras,15,dsgeas,DSG1-AS1,0.0,0.0,
keras,16,niaoise,RNA5SP480,0.0,0.0,
keras,17,icoio,LINC01070,0.0,0.0,
keras,18,es,LINC01785,0.0,0.0,
keras,19,,MVK,0.0,0.0,
keras,20,,PANK1,0.0,0.0,
keras,21,erccs,ERCC6,0.0,0.0,
keras,22,,RPL29P6,0.0,0.0,yes
keras,23,tasriod,TAS2R62P,0.0,0.0,
keras,24,adsalzp,RAD54L2P1,0.0,0.0,
keras,25,rs,DNAJC3-DT,0.0,0.0,yes
keras,26,rnzsl6o2p,RN7SL602P,0.2222222222222222,0.2222222222222222,
keras,27,plekhnt,PLEKHN1,0.0,0.0,
keras,28,ankrda4,ANKRD44,0.1428571428571429,0.14285714285714285,
keras,29,rnug4p,RNU6-4P,0.1428571428571429,0.15384615384615385,
keras,30,dgred,ADGRE4P,0.0,0.0,
keras,31,mansci,MANSC1,0.0,0.0,
keras,32,rnzsl,RN7SL50P,0.0,0.0,
keras,33,hmgnipn,HMGN1P27,0.0,0.0,
keras,34,mirszua,MIR520A,0.0,0.0,
keras,35,slczoaipi,SLC20A1P1,0.0,0.0,
keras,36,,MIR1290,0.0,0.0,yes
keras,37,,OR1R1P,0.0,0.0,
keras,38,oprdi,OPRD1,0.0,0.0,
keras,39,myota,MYO1A,0.0,0.0,
keras,40,tbxx,TBX2,0.0,0.0,
keras,41,ramaci,RAMACL,0.0,0.0,
keras,42,smydzit,SMYD3-IT1,0.0,0.0,
keras,43,dynll,DYNLL1P2,0.0,0.0,
keras,44,,MANCR,0.0,0.0,
keras,45,ligt,LIG1,0.0,0.0,
keras,46,rnubb331,RNU6-833P,0.2222222222222222,0.23529411764705882,
keras,47,,CCDC17,0.0,0.0,yes
keras,48,ndrgz,NDRG2,0.0,0.0,
keras,49,kbm30,RBM39,0.19999999999999996,0.2,
keras,50,s,MIR892A,0.0,0.0,
keras,51,ambob,FAM30B,0.0,0.0,
keras,52,galbstz,GAL3ST2,0.0,0.0,
keras,53,,GPATCH1,0.0,0.0,yes
keras,54,,MYOM2,0.0,0.0,yes
keras,55,hmgnipz,HMGN1P27,0.0,0.0,
keras,56,,PSAP,0.0,0.0,
keras,57,dew,H2BW1,0.0,0.0,
keras,58,,PNLIP,0.0,0.0,yes
