model,image,prediction,ground truth,1-NED,difflib ratio,difficult image
mmocr ABINet,0,tllett,TLE1-DT,0.0,0.0,
mmocr ABINet,1,inf482,ZNF484,0.33333333333333337,0.3333333333333333,
mmocr ABINet,2,vcan,VCAN,0.0,0.0,
mmocr ABINet,3,riu6660,RNU6-260P,0.33333333333333337,0.375,
mmocr ABINet,4,matn2,MATN2,0.19999999999999996,0.2,
mmocr ABINet,5,usp45,USP45,0.4,0.4,
mmocr ABINet,6,1922244922,RPL23AP12,0.19999999999999996,0.21052631578947367,
mmocr ABINet,7,gapt,GAPT,0.0,0.0,
mmocr ABINet,8,h2alimp,H2AL1MP,0.1428571428571429,0.14285714285714285,
mmocr ABINet,9,can,COA6,0.0,0.0,yes
mmocr ABINet,10,matrjp,MATR3P1,0.0,0.0,
mmocr ABINet,11,goat,SOAT2,0.0,0.0,
mmocr ABINet,12,to,LTO1,0.0,0.0,
mmocr ABINet,13,commd5,COMMD5,0.16666666666666663,0.16666666666666666,
mmocr ABINet,14,adpgkas,ADPGK-AS1,0.0,0.0,
mmocr ABINet,15,dsgias,DSG1-AS1,0.0,0.0,
mmocr ABINet,16,14ssp4,RNA5SP480,0.11111111111111116,0.13333333333333333,
mmocr ABINet,17,incolor,LINC01070,0.0,0.0,
mmocr ABINet,18,linc01785,LINC01785,0.5555555555555556,0.5555555555555556,
mmocr ABINet,19,mvr,MVK,0.0,0.0,
mmocr ABINet,20,panka,PANK1,0.0,0.0,
mmocr ABINet,21,ercc6,ERCC6,0.19999999999999996,0.2,
mmocr ABINet,22,after,RPL29P6,0.0,0.0,yes
mmocr ABINet,23,tas2r62p,TAS2R62P,0.375,0.375,
mmocr ABINet,24,rads4l2pt,RAD54L2P1,0.2222222222222222,0.2222222222222222,
mmocr ABINet,25,messar,DNAJC3-DT,0.0,0.0,yes
mmocr ABINet,26,rin7s6622,RN7SL602P,0.2222222222222222,0.3333333333333333,
mmocr ABINet,27,plekhn1,PLEKHN1,0.1428571428571429,0.14285714285714285,
mmocr ABINet,28,ankrd44,ANKRD44,0.2857142857142857,0.2857142857142857,
mmocr ABINet,29,rnug4p,RNU6-4P,0.1428571428571429,0.15384615384615385,
mmocr ABINet,30,agres,ADGRE4P,0.0,0.0,
mmocr ABINet,31,mansc1,MANSC1,0.16666666666666663,0.16666666666666666,
mmocr ABINet,32,rn7sl50p,RN7SL50P,0.375,0.375,
mmocr ABINet,33,emgni22,HMGN1P27,0.125,0.13333333333333333,
mmocr ABINet,34,mnrs2ua,MIR520A,0.1428571428571429,0.14285714285714285,
mmocr ABINet,35,slc20aipi,SLC20A1P1,0.2222222222222222,0.2222222222222222,
mmocr ABINet,36,muree,MIR1290,0.0,0.0,yes
mmocr ABINet,37,cereer,OR1R1P,0.0,0.0,
mmocr ABINet,38,oordr,OPRD1,0.0,0.0,
mmocr ABINet,39,myoia,MYO1A,0.0,0.0,
mmocr ABINet,40,tbx2,TBX2,0.25,0.25,
mmocr ABINet,41,ramaci,RAMACL,0.0,0.0,
mmocr ABINet,42,smyd31t,SMYD3-IT1,0.11111111111111116,0.25,
mmocr ABINet,43,dynll1p2,DYNLL1P2,0.25,0.25,
mmocr ABINet,44,mancr,MANCR,0.0,0.0,
mmocr ABINet,45,lig1,LIG1,0.25,0.25,
mmocr ABINet,46,rnu6833,RNU6-833P,0.4444444444444444,0.5,
mmocr ABINet,47,a,CCDC17,0.0,0.0,yes
mmocr ABINet,48,ndrg2,NDRG2,0.19999999999999996,0.2,
mmocr ABINet,49,rb339,RBM39,0.4,0.4,
mmocr ABINet,50,mir892,MIR892A,0.4285714285714286,0.46153846153846156,
mmocr ABINet,51,am30b,FAM30B,0.33333333333333337,0.36363636363636365,
mmocr ABINet,52,gal3st2,GAL3ST2,0.2857142857142857,0.2857142857142857,
mmocr ABINet,53,from,GPATCH1,0.0,0.0,yes
mmocr ABINet,54,have,MYOM2,0.0,0.0,yes
mmocr ABINet,55,hmgn1p27,HMGN1P27,0.375,0.375,
mmocr ABINet,56,psa,PSAP,0.0,0.0,
mmocr ABINet,57,h28w,H2BW1,0.19999999999999996,0.2222222222222222,
mmocr ABINet,58,lenee,PNLIP,0.0,0.0,yes
mmocr ABINet,59,gnpda1,GNPDA1,0.16666666666666663,0.16666666666666666,
mmocr ABINet,60,thbs3as1,THBS3-AS1,0.2222222222222222,0.23529411764705882,
mmocr ABINet,61,rnus4t77,RNU6-477P,0.2222222222222222,0.35294117647058826,
mmocr ABINet,62,orsg5,OR8G5,0.19999999999999996,0.2,
mmocr ABINet,63,nome,NOMO3,0.0,0.0,
mmocr ABINet,64,rpl27ap,RPL27AP,0.2857142857142857,0.2857142857142857,
mmocr ABINet,65,rpl23ap90,RPL23AP90,0.4444444444444444,0.4444444444444444,
mmocr ABINet,66,bage,BAGE,0.0,0.0,
mmocr ABINet,67,aos,SLC38A10,0.0,0.0,
mmocr ABINet,68,pms2cl,PMS2CL,0.16666666666666663,0.16666666666666666,
mmocr ABINet,69,and,HAND2,0.0,0.0,
mmocr ABINet,70,efflamp,EEF1A1P19,0.0,0.0,
mmocr ABINet,71,slc249,SLC2A9,0.33333333333333337,0.3333333333333333,
mmocr ABINet,72,messa,ANKRD54P1,0.0,0.0,
mmocr ABINet,73,linc01774,LINC01774,0.5555555555555556,0.5555555555555556,
mmocr ABINet,74,grin2b,GRIN2B,0.16666666666666663,0.16666666666666666,
mmocr ABINet,75,tae,TMED10P1,0.0,0.0,yes
mmocr ABINet,76,m1r4661,MIR4661,0.5714285714285714,0.5714285714285714,
mmocr ABINet,77,tmem1678,TMEM167B,0.375,0.375,
mmocr ABINet,78,elctidal,CHCHD4P2,0.0,0.0,yes
mmocr ABINet,79,nup35p2,NUP35P2,0.4285714285714286,0.42857142857142855,
mmocr ABINet,80,wdr82p2,WDR82P2,0.4285714285714286,0.42857142857142855,
mmocr ABINet,81,inco059d,LINC00596,0.33333333333333337,0.35294117647058826,yes
mmocr ABINet,82,fam227b,FAM227B,0.4285714285714286,0.42857142857142855,
mmocr ABINet,83,toe,CCNO,0.0,0.0,
mmocr ABINet,84,and,RNU5F-5P,0.0,0.0,yes
mmocr ABINet,85,2nf380,ZNF780A,0.2857142857142857,0.3076923076923077,
mmocr ABINet,86,mffp,MFFP2,0.0,0.0,
mmocr ABINet,87,ano7l1,ANO7L1,0.33333333333333337,0.3333333333333333,
mmocr ABINet,88,gpr15,GPR15,0.4,0.4,
mmocr ABINet,89,dlg1as1,DLG1-AS1,0.25,0.26666666666666666,
mmocr ABINet,90,lyl1,LYL1,0.25,0.25,
mmocr ABINet,91,dgko,DGKQ,0.0,0.0,
mmocr ABINet,92,aoe,CSTP1,0.0,0.0,yes
mmocr ABINet,93,ppiap11,PPIAP11,0.2857142857142857,0.2857142857142857,
mmocr ABINet,94,nkx21as1,NKX2-1-AS1,0.30000000000000004,0.3333333333333333,
mmocr ABINet,95,zneg74as,ZNF674-AS1,0.19999999999999996,0.2222222222222222,
mmocr ABINet,96,neurog3,NEUROG3,0.1428571428571429,0.14285714285714285,
mmocr ABINet,97,plac9,PLAC9,0.19999999999999996,0.2,
mmocr ABINet,98,iraqiasi,IRAG1-AS1,0.0,0.0,
mmocr ABINet,99,or6ji,OR6J1,0.19999999999999996,0.2,
mmocr ABINet,100,rpl31p8,RPL31P8,0.4285714285714286,0.42857142857142855,
mmocr ABINet,101,hmhb,HMHB1,0.0,0.0,
mmocr ABINet,102,inc01000,LINC01003,0.4444444444444444,0.47058823529411764,
mmocr ABINet,103,ubbezifi,UBE2V1P6,0.0,0.0,
mmocr ABINet,104,onlc440ad,RNU6-1134P,0.0,0.10526315789473684,
mmocr ABINet,105,linc0165,LINC01653,0.4444444444444444,0.47058823529411764,
mmocr ABINet,106,rabggtb,RABGGTB,0.0,0.0,
mmocr ABINet,107,or52n5,OR52N5,0.5,0.5,
