model,char_recall,char_precision,word_acc,word_acc_ignore_case,word_acc_ignore_case_symbol,1-N.E.D
tesseract psm 0,0.0,0.0,0.0,0.0,0.0,0.0
tesseract psm 1,0.2384,0.8059,0.106,0.107,0.122,0.2287
tesseract psm 2,0.0,0.0,0.0,0.0,0.0,0.0
tesseract psm 3,0.2384,0.8059,0.106,0.107,0.122,0.2287
tesseract psm 4,0.2494,0.8005,0.11,0.111,0.126,0.238
tesseract psm 5,0.0321,0.1543,0.0,0.0,0.0,0.0205
tesseract psm 6,0.4629,0.6766,0.157,0.158,0.185,0.4389
tesseract psm 7,0.4842,0.672,0.167,0.168,0.196,0.4648
tesseract psm 8,0.5055,0.6567,0.097,0.099,0.171,0.477
tesseract psm 9,0.2798,0.6094,0.05,0.05,0.081,0.2634
tesseract psm 10,0.5119,0.6689,0.173,0.175,0.209,0.4875
tesseract psm 11,0.3214,0.7406,0.13,0.131,0.145,0.3051
tesseract psm 12,0.3064,0.753,0.124,0.125,0.14,0.2917
tesseract psm 13,0.4912,0.6457,0.091,0.093,0.166,0.4612
data fusion all stats,0.7455,0.8652,0.257,0.459,0.46,0.7438
data fusion NED only,0.7455,0.8663,0.019,0.459,0.46,0.7435
data fusion with google all stats,0.7576,0.8922,0.343,0.497,0.497,0.7566
data fusion with google NED only,0.7555,0.8888,0.27,0.482,0.482,0.7541
easyocr,0.4398,0.778,0.137,0.138,0.14,0.4349
google ocr,0.753,0.9285,0.548,0.548,0.559,0.7476
keras,0.5076,0.7276,0.0,0.092,0.104,0.5135
mmocr ABINet,0.7215,0.8011,0.0,0.348,0.405,0.717
mmocr CRNN,0.5434,0.601,0.0,0.07,0.076,0.5341
mmocr CRNN_TPS,0.5343,0.5929,0.0,0.067,0.073,0.5373
mmocr MASTER,0.6707,0.7093,0.314,0.319,0.358,0.6478
mmocr NRTR_1/16-1/8,0.6777,0.7342,0.272,0.28,0.347,0.658
mmocr NRTR_1/8-1/4,0.6908,0.7345,0.269,0.274,0.362,0.6634
mmocr RobustScanner,0.7513,0.7795,0.392,0.412,0.416,0.7346
mmocr SAR,0.7446,0.8005,0.384,0.399,0.405,0.735
mmocr SATRN,0.7103,0.7813,0.0,0.426,0.458,0.6984
mmocr SATRN_sm,0.6962,0.743,0.0,0.335,0.36,0.6804
mmocr SEG,0.7412,0.8723,0.0,0.34,0.394,0.7249
