model,image,prediction,ground truth,1-NED,difflib ratio,difficult image
tesseract psm 0,0,,TLE1-DT,0.0,0.0,
tesseract psm 0,1,,ZNF484,0.0,0.0,
tesseract psm 0,2,,VCAN,0.0,0.0,
tesseract psm 0,3,,RNU6-260P,0.0,0.0,
tesseract psm 0,4,,MATN2,0.0,0.0,
tesseract psm 0,5,,USP45,0.0,0.0,
tesseract psm 0,6,,RPL23AP12,0.0,0.0,
tesseract psm 0,7,,GAPT,0.0,0.0,
tesseract psm 0,8,,H2AL1MP,0.0,0.0,
tesseract psm 0,9,,COA6,0.0,0.0,yes
tesseract psm 0,10,,MATR3P1,0.0,0.0,
tesseract psm 0,11,,SOAT2,0.0,0.0,
tesseract psm 0,12,,LTO1,0.0,0.0,
tesseract psm 0,13,,COMMD5,0.0,0.0,
tesseract psm 0,14,,ADPGK-AS1,0.0,0.0,
tesseract psm 0,15,,DSG1-AS1,0.0,0.0,
tesseract psm 0,16,,RNA5SP480,0.0,0.0,
tesseract psm 0,17,,LINC01070,0.0,0.0,
tesseract psm 0,18,,LINC01785,0.0,0.0,
tesseract psm 0,19,,MVK,0.0,0.0,
tesseract psm 0,20,,PANK1,0.0,0.0,
tesseract psm 0,21,,ERCC6,0.0,0.0,
tesseract psm 0,22,,RPL29P6,0.0,0.0,yes
tesseract psm 0,23,,TAS2R62P,0.0,0.0,
tesseract psm 0,24,,RAD54L2P1,0.0,0.0,
tesseract psm 0,25,,DNAJC3-DT,0.0,0.0,yes
tesseract psm 0,26,,RN7SL602P,0.0,0.0,
tesseract psm 0,27,,PLEKHN1,0.0,0.0,
tesseract psm 0,28,,ANKRD44,0.0,0.0,
tesseract psm 0,29,,RNU6-4P,0.0,0.0,
tesseract psm 0,30,,ADGRE4P,0.0,0.0,
tesseract psm 0,31,,MANSC1,0.0,0.0,
tesseract psm 0,32,,RN7SL50P,0.0,0.0,
tesseract psm 0,33,,HMGN1P27,0.0,0.0,
tesseract psm 0,34,,MIR520A,0.0,0.0,
tesseract psm 0,35,,SLC20A1P1,0.0,0.0,
tesseract psm 0,36,,MIR1290,0.0,0.0,yes
tesseract psm 0,37,,OR1R1P,0.0,0.0,
tesseract psm 0,38,,OPRD1,0.0,0.0,
tesseract psm 0,39,,MYO1A,0.0,0.0,
tesseract psm 0,40,,TBX2,0.0,0.0,
tesseract psm 0,41,,RAMACL,0.0,0.0,
tesseract psm 0,42,,SMYD3-IT1,0.0,0.0,
tesseract psm 0,43,,DYNLL1P2,0.0,0.0,
tesseract psm 0,44,,MANCR,0.0,0.0,
tesseract psm 0,45,,LIG1,0.0,0.0,
