model,image,prediction,ground truth,1-NED,difflib ratio,difficult image
easyocr,0,~TSGzYj,vTS6zYj,0.7142857142857143,0.7142857142857143,
easyocr,1,TupRaln,qqgRa1r,0.2857142857142857,0.2857142857142857,
easyocr,2,,R4rgKRG,0.0,0.0,yes
easyocr,3,ciGd8xr,c1Gd8xr,0.8571428571428572,0.8571428571428571,
easyocr,4,g8HUZLE,g8HGzEE,0.5714285714285714,0.5714285714285714,
easyocr,5,,2pHlbP7,0.0,0.0,yes
easyocr,6,,ZheF93m,0.0,0.0,
easyocr,7,,YqGiBJf,0.0,0.0,
easyocr,8,;;,QC4vmRI,0.0,0.0,
easyocr,9,[9y5x1YK,9y5x1YK,0.875,0.9333333333333333,
easyocr,10,NOcsT9j,NO23t9j,0.5714285714285714,0.5714285714285714,
easyocr,11,xOZNua,xOZNuaI,0.8571428571428572,0.9230769230769231,
easyocr,12,,Zl6WL-B,0.0,0.0,
easyocr,13,,RpxNMy0,0.0,0.0,
easyocr,14,,HPYDI4c,0.0,0.0,yes
easyocr,15,,qcg09ve,0.0,0.0,
easyocr,16,,v3aMWaI,0.0,0.0,
easyocr,17,Laonrt,l-aQnrt,0.5714285714285714,0.6153846153846154,
easyocr,18,,L21HfOE,0.0,0.0,yes
easyocr,19,OGPxldc,oGPxldC,0.7142857142857143,0.7142857142857143,
easyocr,20,3sm2zja,3sm2zja,1.0,1.0,
easyocr,21,nLgjSNN,nZgjSNN,0.8571428571428572,0.8571428571428571,
easyocr,22,,sSrX-hj,0.0,0.0,
easyocr,23,Fivbsar,Y-vb5ax,0.4285714285714286,0.42857142857142855,
easyocr,24,,nXcJtrx,0.0,0.0,
easyocr,25,84wOKIA,84wQKlA,0.7142857142857143,0.7142857142857143,
easyocr,26,,Tm8kH9d,0.0,0.0,yes
easyocr,27,Kc),yIpM1YO,0.0,0.0,
easyocr,28,,UkstCk6,0.0,0.0,
easyocr,29,VVKOOGOMV,WkQOGbM,0.33333333333333337,0.375,
easyocr,30,McRmzll:,McRmzlL,0.75,0.8,
easyocr,31,RtSsw/,8xxSsv1,0.2857142857142857,0.3076923076923077,
easyocr,32,Fiedtnt,RKcB7DY,0.0,0.0,
easyocr,33,ZIWIsDZ,ZlWIsDZ,0.8571428571428572,0.8571428571428571,
easyocr,34,,hceQvr6,0.0,0.0,yes
easyocr,35,opDAc,Uopbxqc,0.4285714285714286,0.5,
easyocr,36,,MZx7C7J,0.0,0.0,
easyocr,37,,aN0giM8,0.0,0.0,yes
easyocr,38,SoFanks,soFaNkS,0.5714285714285714,0.5714285714285714,
easyocr,39,,EHZ9lxl,0.0,0.0,
easyocr,40,,LXjRAFS,0.0,0.0,
easyocr,41,YaEGl5o,YaFGI5o,0.7142857142857143,0.7142857142857143,
easyocr,42,,Hw9LRfB,0.0,0.0,yes
easyocr,43,,LtMh82c,0.0,0.0,
easyocr,44,WphodC,WphodCL,0.8571428571428572,0.9230769230769231,
easyocr,45,VHI 0 U,yHw7oO3,0.1428571428571429,0.14285714285714285,
easyocr,46,QB9rUAk,QB9rUAk,1.0,1.0,
easyocr,47,Me1407,-Me14O7,0.7142857142857143,0.7692307692307693,
easyocr,48,,brnOOOD,0.0,0.0,yes
easyocr,49,6LZDDAj,6L7DDAf,0.7142857142857143,0.7142857142857143,
easyocr,50,24Z2BfS,zqZ2BfS,0.7142857142857143,0.7142857142857143,
easyocr,51,,EpvLOwg,0.0,0.0,
easyocr,52,WkQJOrx,WkQJOrx,1.0,1.0,
easyocr,53,TNODPKA,rN9DPKA,0.7142857142857143,0.7142857142857143,
easyocr,54,JIWpEYN,jiWpEYN,0.7142857142857143,0.7142857142857143,
easyocr,55,UeV6Vg,I-Vi6V9,0.4285714285714286,0.46153846153846156,
easyocr,56,pFw]vju,pPw1Vju,0.5714285714285714,0.5714285714285714,
easyocr,57,RP-8xfL,RP-8xfL,1.0,1.0,
easyocr,58,0YipF?,0YipF9B,0.7142857142857143,0.7692307692307693,
easyocr,59,XcY oLAR,XrYoLAg,0.625,0.6666666666666666,
easyocr,60,Jobi F,9ObwyF-,0.2857142857142857,0.3076923076923077,
easyocr,61,ibJGtsR,ibJGt5R,0.8571428571428572,0.8571428571428571,
easyocr,62,SmEoZUQ,5mEoZUQ,0.8571428571428572,0.8571428571428571,
easyocr,63,,fRgX0dQ,0.0,0.0,
easyocr,64,ZLptzPz,zLptzR2,0.5714285714285714,0.5714285714285714,
easyocr,65,JpC,dkkwup0,0.1428571428571429,0.2,
easyocr,66,URMqiDu],URMqiDu,0.875,0.9333333333333333,
easyocr,67,,sT77bIm,0.0,0.0,
easyocr,68,Ozjziu8,523zTU8,0.2857142857142857,0.2857142857142857,
easyocr,69,@Ynb-d,ayqyb-d,0.4285714285714286,0.46153846153846156,
easyocr,70,,PPRc8cP,0.0,0.0,
easyocr,71,IOOo5JX,l0Oo5JX,0.7142857142857143,0.7142857142857143,
easyocr,72,,tZube6W,0.0,0.0,
easyocr,73,KJSXuOf,KJ5Xu0f,0.7142857142857143,0.7142857142857143,
easyocr,74,,LJcxQwF,0.0,0.0,
easyocr,75,niYy,n11nYm7,0.2857142857142857,0.36363636363636365,
easyocr,76,,qJT8jXQ,0.0,0.0,yes
easyocr,77,OLIXORC,pt1XQRC,0.4285714285714286,0.42857142857142855,
easyocr,78,yIkxVTY,yIkxVTY,1.0,1.0,
easyocr,79,PbntXS),PbntXS-,0.8571428571428572,0.8571428571428571,
easyocr,80,TeOWMEE,7e6wMEE,0.5714285714285714,0.5714285714285714,
easyocr,81,,TKTEsuM,0.0,0.0,
easyocr,82,DUlNkl,50TNkd7,0.2857142857142857,0.3076923076923077,
easyocr,83,otb5IOS,otb51QS,0.7142857142857143,0.7142857142857143,
easyocr,84,21S1-Al,21srAhI,0.2857142857142857,0.42857142857142855,
easyocr,85,FwtcdKu,7wtcdKu,0.8571428571428572,0.8571428571428571,
easyocr,86,ELL ZhBL,2H1ZhBH,0.375,0.4,
easyocr,87,,G6OG1YG,0.0,0.0,yes
easyocr,88,Hpr KatU,HprKqtU,0.75,0.8,
easyocr,89,Pc%fcjM,Pc9fcjM,0.8571428571428572,0.8571428571428571,
easyocr,90,L4,vs9kooB,0.0,0.0,
easyocr,91,,Z5eGiYd,0.0,0.0,yes
easyocr,92,GfoXqeY,GfoXqeY,1.0,1.0,
easyocr,93,IYxYZNK,lYxY7NK,0.7142857142857143,0.7142857142857143,
easyocr,94,WElahqE,wElqhqB,0.5714285714285714,0.5714285714285714,
easyocr,95,WFDsoDO,WFDs6DO,0.8571428571428572,0.8571428571428571,
easyocr,96,,ZYkvXnh,0.0,0.0,
easyocr,97,,rNxOUGw,0.0,0.0,
easyocr,98,6PkWEF4,6PkWEF4,1.0,1.0,
easyocr,99,JEcHIB,iEc3tB-,0.4285714285714286,0.46153846153846156,
easyocr,100,oyHXZtD,oyHXZtD,1.0,1.0,
easyocr,101,MzqroHW,mzqr9HW,0.7142857142857143,0.7142857142857143,
