model,image,prediction,ground truth,1-NED,difflib ratio,difficult image
google ocr,0,vTS6zYj,vTS6zYj,1.0,1.0,
google ocr,1,qqgRair,qqgRa1r,0.8571428571428572,0.8571428571428571,
google ocr,2,RES,R4rgKRG,0.1428571428571429,0.2,yes
google ocr,3,c1Gd8xr,c1Gd8xr,1.0,1.0,
google ocr,4,g8HGZEE,g8HGzEE,0.8571428571428572,0.8571428571428571,
google ocr,5,FIPP,2pHlbP7,0.1428571428571429,0.18181818181818182,yes
google ocr,6,ZheF93m,ZheF93m,1.0,1.0,
google ocr,7,YaGiB,YqGiBJf,0.5714285714285714,0.6666666666666666,
google ocr,8,QC4vmRI,QC4vmRI,1.0,1.0,
google ocr,9,9y5x1YK,9y5x1YK,1.0,1.0,
google ocr,10,NO23t9j,NO23t9j,1.0,1.0,
google ocr,11,XOZNual,xOZNuaI,0.7142857142857143,0.7142857142857143,
google ocr,12,zl6WL-R,Zl6WL-B,0.7142857142857143,0.7142857142857143,
google ocr,13,pXNMY,RpxNMy0,0.4285714285714286,0.5,
google ocr,14,,HPYDI4c,0.0,0.0,yes
google ocr,15,11бобов,qcg09ve,0.0,0.0,
google ocr,16,al,v3aMWaI,0.1428571428571429,0.2222222222222222,
google ocr,17,[l-aQnrt,l-aQnrt,0.875,0.9333333333333333,
google ocr,18,GOTHIC,L21HfOE,0.1428571428571429,0.15384615384615385,yes
google ocr,19,oGPxldC,oGPxldC,1.0,1.0,
google ocr,20,3sm2zja,3sm2zja,1.0,1.0,
google ocr,21,nZgjSNN,nZgjSNN,1.0,1.0,
google ocr,22,,sSrX-hj,0.0,0.0,
google ocr,23,"XDCGA-
KE",Y-vb5ax,0.0,0.125,
google ocr,24,XcJtrx,nXcJtrx,0.8571428571428572,0.9230769230769231,
google ocr,25,84wQKIA,84wQKlA,0.8571428571428572,0.8571428571428571,
google ocr,26,,Tm8kH9d,0.0,0.0,yes
google ocr,27,YIPMIYO,yIpM1YO,0.5714285714285714,0.5714285714285714,
google ocr,28,UkstCko,UkstCk6,0.8571428571428572,0.8571428571428571,
google ocr,29,WkQOGbM,WkQOGbM,1.0,1.0,
google ocr,30,McRmzll,McRmzlL,0.8571428571428572,0.8571428571428571,
google ocr,31,JASSXXS,8xxSsv1,0.1428571428571429,0.14285714285714285,
google ocr,32,RKCBZDY,RKcB7DY,0.7142857142857143,0.7142857142857143,
google ocr,33,ZIWISDZ,ZlWIsDZ,0.7142857142857143,0.7142857142857143,
google ocr,34,,hceQvr6,0.0,0.0,yes
google ocr,35,Jopbxqc,Uopbxqc,0.8571428571428572,0.8571428571428571,
google ocr,36,SIZx707),MZx7C7J,0.5,0.5333333333333333,
google ocr,37,,aN0giM8,0.0,0.0,yes
google ocr,38,soFaNkS,soFaNkS,1.0,1.0,
google ocr,39,FH79lxl,EHZ9lxl,0.7142857142857143,0.7142857142857143,
google ocr,40,LXJRAFS,LXjRAFS,0.8571428571428572,0.8571428571428571,
google ocr,41,YaFG150,YaFGI5o,0.7142857142857143,0.7142857142857143,
google ocr,42,-WYLPRE,Hw9LRfB,0.1428571428571429,0.2857142857142857,yes
google ocr,43,,LtMh82c,0.0,0.0,
google ocr,44,WphodCh,WphodCL,0.8571428571428572,0.8571428571428571,
google ocr,45,yHw7003,yHw7oO3,0.7142857142857143,0.7142857142857143,
google ocr,46,QB9rUAk,QB9rUAk,1.0,1.0,
google ocr,47,-Me1407,-Me14O7,0.8571428571428572,0.8571428571428571,
google ocr,48,,brnOOOD,0.0,0.0,yes
google ocr,49,6L7DDAF,6L7DDAf,0.8571428571428572,0.8571428571428571,
google ocr,50,zqZzBfS,zqZ2BfS,0.8571428571428572,0.8571428571428571,
google ocr,51,EpyLOwg,EpvLOwg,0.8571428571428572,0.8571428571428571,
google ocr,52,WkQJOrx,WkQJOrx,1.0,1.0,
google ocr,53,TN9DPKA,rN9DPKA,0.8571428571428572,0.8571428571428571,
google ocr,54,jiWpEYN,jiWpEYN,1.0,1.0,
google ocr,55,1-Vi6V9,I-Vi6V9,0.8571428571428572,0.8571428571428571,
google ocr,56,pPw1Vju,pPw1Vju,1.0,1.0,
google ocr,57,RP-8xfL,RP-8xfL,1.0,1.0,
google ocr,58,0YipF9B,0YipF9B,1.0,1.0,
google ocr,59,XrYoLAg,XrYoLAg,1.0,1.0,
google ocr,60,9ObwyF-,9ObwyF-,1.0,1.0,
google ocr,61,ibJGt5R,ibJGt5R,1.0,1.0,
google ocr,62,5mEOZUQ,5mEoZUQ,0.8571428571428572,0.8571428571428571,
google ocr,63,,fRgX0dQ,0.0,0.0,
google ocr,64,zLptzR2,zLptzR2,1.0,1.0,
google ocr,65,dkkwupc,dkkwup0,0.8571428571428572,0.8571428571428571,
google ocr,66,URMaiDu,URMqiDu,0.8571428571428572,0.8571428571428571,
google ocr,67,sT77blm,sT77bIm,0.8571428571428572,0.8571428571428571,
google ocr,68,523z108,523zTU8,0.7142857142857143,0.7142857142857143,
