model,image,prediction,ground truth,1-NED,difflib ratio,difficult image
keras,0,vtsgzyi,vTS6zYj,0.2857142857142857,0.2857142857142857,
keras,1,nagralt,qqgRa1r,0.2857142857142857,0.2857142857142857,
keras,2,,R4rgKRG,0.0,0.0,yes
keras,3,cigdexr,c1Gd8xr,0.5714285714285714,0.5714285714285714,
keras,4,gshgzee,g8HGzEE,0.2857142857142857,0.2857142857142857,
keras,5,,2pHlbP7,0.0,0.0,yes
keras,6,zhefibm,ZheF93m,0.4285714285714286,0.42857142857142855,
keras,7,ggib,YqGiBJf,0.1428571428571429,0.18181818181818182,
keras,8,ocavmri,QC4vmRI,0.2857142857142857,0.2857142857142857,
keras,9,dysxiyk,9y5x1YK,0.2857142857142857,0.2857142857142857,
keras,10,noxstj,NO23t9j,0.2857142857142857,0.3076923076923077,
keras,11,xoznua,xOZNuaI,0.4285714285714286,0.46153846153846156,
keras,12,e,Zl6WL-B,0.0,0.0,
keras,13,painn,RpxNMy0,0.1428571428571429,0.16666666666666666,
keras,14,,HPYDI4c,0.0,0.0,yes
keras,15,,qcg09ve,0.0,0.0,
keras,16,sa,v3aMWaI,0.1428571428571429,0.2222222222222222,
keras,17,faqnrt,l-aQnrt,0.5714285714285714,0.6153846153846154,
keras,18,hfo,L21HfOE,0.1428571428571429,0.2,yes
keras,19,ogpxldc,oGPxldC,0.5714285714285714,0.5714285714285714,
keras,20,3sm2zja,3sm2zja,1.0,1.0,
keras,21,nzgisnn,nZgjSNN,0.2857142857142857,0.2857142857142857,
keras,22,soo,sSrX-hj,0.1428571428571429,0.2,
keras,23,vbsan,Y-vb5ax,0.4285714285714286,0.5,
keras,24,xcitrx,nXcJtrx,0.5714285714285714,0.6153846153846154,
keras,25,84wokia,84wQKlA,0.4285714285714286,0.42857142857142855,
keras,26,,Tm8kH9d,0.0,0.0,yes
keras,27,ipmiyo,yIpM1YO,0.1428571428571429,0.15384615384615385,
keras,28,,UkstCk6,0.0,0.0,
keras,29,wkqogomi,WkQOGbM,0.125,0.13333333333333333,
keras,30,macrmzie,McRmzlL,0.375,0.4,
keras,31,sudsvl,8xxSsv1,0.2857142857142857,0.3076923076923077,
keras,32,rkcridy,RKcB7DY,0.1428571428571429,0.14285714285714285,
keras,33,ziwisdz,ZlWIsDZ,0.1428571428571429,0.14285714285714285,
keras,34,,hceQvr6,0.0,0.0,yes
keras,35,copbxcg,Uopbxqc,0.5714285714285714,0.7142857142857143,
keras,36,ilxyz,MZx7C7J,0.1428571428571429,0.16666666666666666,
keras,37,,aN0giM8,0.0,0.0,yes
keras,38,sofanks,soFaNkS,0.5714285714285714,0.5714285714285714,
keras,39,ehziy,EHZ9lxl,0.0,0.0,
keras,40,,LXjRAFS,0.0,0.0,
keras,41,yafg150,YaFGI5o,0.2857142857142857,0.2857142857142857,
keras,42,,Hw9LRfB,0.0,0.0,yes
keras,43,limheze,LtMh82c,0.1428571428571429,0.14285714285714285,
keras,44,wphodcl,WphodCL,0.5714285714285714,0.5714285714285714,
keras,45,yhhzoo,yHw7oO3,0.2857142857142857,0.3076923076923077,
keras,46,qbgruak,QB9rUAk,0.2857142857142857,0.2857142857142857,
keras,47,me1407,-Me14O7,0.5714285714285714,0.6153846153846154,
keras,48,,brnOOOD,0.0,0.0,yes
keras,49,bl,6L7DDAf,0.0,0.0,
keras,50,qzbfs,zqZ2BfS,0.2857142857142857,0.3333333333333333,
keras,51,puws,EpvLOwg,0.2857142857142857,0.36363636363636365,
keras,52,wkqjorx,WkQJOrx,0.4285714285714286,0.42857142857142855,
