model,image,prediction,ground truth,1-NED,difflib ratio,difficult image
mmocr ABINet,0,vts62yj,vTS6zYj,0.4285714285714286,0.42857142857142855,
mmocr ABINet,1,qugrain,qqgRa1r,0.4285714285714286,0.42857142857142855,
mmocr ABINet,2,seeerr,R4rgKRG,0.0,0.15384615384615385,yes
mmocr ABINet,3,c1gd8xr,c1Gd8xr,0.8571428571428572,0.8571428571428571,
mmocr ABINet,4,g8hgzee,g8HGzEE,0.4285714285714286,0.42857142857142855,
mmocr ABINet,5,a,2pHlbP7,0.0,0.0,yes
mmocr ABINet,6,zhei933,ZheF93m,0.5714285714285714,0.5714285714285714,
mmocr ABINet,7,gg,YqGiBJf,0.0,0.0,
mmocr ABINet,8,qc4v11111,QC4vmRI,0.2222222222222222,0.25,
mmocr ABINet,9,9y5x1yk,9y5x1YK,0.7142857142857143,0.7142857142857143,
mmocr ABINet,10,no2319,NO23t9j,0.4285714285714286,0.46153846153846156,
mmocr ABINet,11,xoznua,xOZNuaI,0.4285714285714286,0.46153846153846156,
mmocr ABINet,12,seee,Zl6WL-B,0.0,0.0,
mmocr ABINet,13,roxnmy,RpxNMy0,0.2857142857142857,0.3076923076923077,
mmocr ABINet,14,fusing,HPYDI4c,0.0,0.0,yes
mmocr ABINet,15,4c8092,qcg09ve,0.4285714285714286,0.46153846153846156,
mmocr ABINet,16,yamwaa,v3aMWaI,0.2857142857142857,0.3076923076923077,
mmocr ABINet,17,laqnr,l-aQnrt,0.5714285714285714,0.6666666666666666,
mmocr ABINet,18,whitfoo,L21HfOE,0.1428571428571429,0.14285714285714285,yes
mmocr ABINet,19,ogpxidc,oGPxldC,0.4285714285714286,0.42857142857142855,
mmocr ABINet,20,3sm2zja,3sm2zja,1.0,1.0,
mmocr ABINet,21,nzgsnn,nZgjSNN,0.2857142857142857,0.3076923076923077,
mmocr ABINet,22,ssrxhj,sSrX-hj,0.5714285714285714,0.6153846153846154,
mmocr ABINet,23,yvbsox,Y-vb5ax,0.4285714285714286,0.46153846153846156,
mmocr ABINet,24,excitrx,nXcJtrx,0.5714285714285714,0.5714285714285714,
mmocr ABINet,25,84wqkia,84wQKlA,0.4285714285714286,0.42857142857142855,
mmocr ABINet,26,q,Tm8kH9d,0.0,0.0,yes
mmocr ABINet,27,ipmivo,yIpM1YO,0.1428571428571429,0.15384615384615385,
mmocr ABINet,28,ukstcko,UkstCk6,0.5714285714285714,0.5714285714285714,
mmocr ABINet,29,wkougov,WkQOGbM,0.1428571428571429,0.14285714285714285,
mmocr ABINet,30,mommie,McRmzlL,0.1428571428571429,0.15384615384615385,
