model,char_recall,char_precision,word_acc,word_acc_ignore_case,word_acc_ignore_case_symbol,1-N.E.D
tesseract psm 0,0.0,0.0,0.0,0.0,0.0,0.0
tesseract psm 1,0.2582,0.7696,0.081,0.085,0.096,0.252
tesseract psm 2,0.0,0.0,0.0,0.0,0.0,0.0
tesseract psm 3,0.2582,0.7696,0.081,0.085,0.096,0.252
tesseract psm 4,0.2712,0.7574,0.083,0.087,0.098,0.264
tesseract psm 5,0.027,0.1446,0.0,0.0,0.0,0.0205
tesseract psm 6,0.4525,0.6645,0.103,0.111,0.135,0.4314
tesseract psm 7,0.466,0.6614,0.105,0.113,0.137,0.4467
tesseract psm 8,0.4766,0.633,0.064,0.074,0.118,0.452
tesseract psm 9,0.235,0.5853,0.025,0.029,0.045,0.2221
tesseract psm 10,0.4879,0.6574,0.109,0.117,0.142,0.4684
tesseract psm 11,0.3265,0.7224,0.088,0.094,0.107,0.3153
tesseract psm 12,0.3165,0.7225,0.085,0.091,0.101,0.3066
tesseract psm 13,0.4641,0.6215,0.059,0.069,0.109,0.4394
data fusion all stats,0.7051,0.8144,0.015,0.307,0.311,0.6954
data fusion NED only,0.7036,0.8139,0.014,0.302,0.306,0.6938
data fusion with google all stats,0.714,0.8371,0.093,0.33,0.337,0.7056
data fusion with google NED only,0.7123,0.8335,0.087,0.326,0.331,0.7035
easyocr,0.4831,0.779,0.115,0.135,0.148,0.479
google ocr,0.7324,0.8849,0.348,0.398,0.421,0.7259
keras,0.5579,0.7498,0.001,0.088,0.102,0.5531
mmocr ABINet,0.6828,0.7668,0.003,0.221,0.255,0.6742
mmocr CRNN,0.526,0.5971,0.001,0.04,0.043,0.5037
mmocr CRNN_TPS,0.5539,0.6072,0.001,0.04,0.045,0.5334
mmocr MASTER,0.5691,0.6079,0.098,0.151,0.177,0.5334
mmocr NRTR_1/16-1/8,0.6115,0.6613,0.113,0.16,0.202,0.5842
mmocr NRTR_1/8-1/4,0.6168,0.6617,0.122,0.156,0.205,0.5859
mmocr RobustScanner,0.7024,0.7424,0.108,0.247,0.258,0.6816
mmocr SAR,0.6835,0.7378,0.111,0.224,0.23,0.6657
mmocr SATRN,0.6872,0.7581,0.005,0.32,0.337,0.6722
mmocr SATRN_sm,0.6706,0.715,0.004,0.238,0.254,0.6465
mmocr SEG,0.7062,0.8327,0.003,0.261,0.29,0.6917
