model,image,prediction,ground truth,1-NED,difflib ratio,difficult image
tesseract psm 0,0,,vTS6zYj,0.0,0.0,
tesseract psm 0,1,,qqgRa1r,0.0,0.0,
tesseract psm 0,2,,R4rgKRG,0.0,0.0,yes
tesseract psm 0,3,,c1Gd8xr,0.0,0.0,
tesseract psm 0,4,,g8HGzEE,0.0,0.0,
tesseract psm 0,5,,2pHlbP7,0.0,0.0,yes
tesseract psm 0,6,,ZheF93m,0.0,0.0,
tesseract psm 0,7,,YqGiBJf,0.0,0.0,
tesseract psm 0,8,,QC4vmRI,0.0,0.0,
tesseract psm 0,9,,9y5x1YK,0.0,0.0,
tesseract psm 0,10,,NO23t9j,0.0,0.0,
tesseract psm 0,11,,xOZNuaI,0.0,0.0,
tesseract psm 0,12,,Zl6WL-B,0.0,0.0,
tesseract psm 0,13,,RpxNMy0,0.0,0.0,
tesseract psm 0,14,,HPYDI4c,0.0,0.0,yes
tesseract psm 0,15,,qcg09ve,0.0,0.0,
tesseract psm 0,16,,v3aMWaI,0.0,0.0,
tesseract psm 0,17,,l-aQnrt,0.0,0.0,
tesseract psm 0,18,,L21HfOE,0.0,0.0,yes
tesseract psm 0,19,,oGPxldC,0.0,0.0,
tesseract psm 0,20,,3sm2zja,0.0,0.0,
tesseract psm 0,21,,nZgjSNN,0.0,0.0,
tesseract psm 0,22,,sSrX-hj,0.0,0.0,
tesseract psm 0,23,,Y-vb5ax,0.0,0.0,
tesseract psm 0,24,,nXcJtrx,0.0,0.0,
tesseract psm 0,25,,84wQKlA,0.0,0.0,
tesseract psm 0,26,,Tm8kH9d,0.0,0.0,yes
tesseract psm 0,27,,yIpM1YO,0.0,0.0,
tesseract psm 0,28,,UkstCk6,0.0,0.0,
tesseract psm 0,29,,WkQOGbM,0.0,0.0,
tesseract psm 0,30,,McRmzlL,0.0,0.0,
tesseract psm 0,31,,8xxSsv1,0.0,0.0,
tesseract psm 0,32,,RKcB7DY,0.0,0.0,
tesseract psm 0,33,,ZlWIsDZ,0.0,0.0,
tesseract psm 0,34,,hceQvr6,0.0,0.0,yes
tesseract psm 0,35,,Uopbxqc,0.0,0.0,
tesseract psm 0,36,,MZx7C7J,0.0,0.0,
tesseract psm 0,37,,aN0giM8,0.0,0.0,yes
tesseract psm 0,38,,soFaNkS,0.0,0.0,
tesseract psm 0,39,,EHZ9lxl,0.0,0.0,
tesseract psm 0,40,,LXjRAFS,0.0,0.0,
tesseract psm 0,41,,YaFGI5o,0.0,0.0,
tesseract psm 0,42,,Hw9LRfB,0.0,0.0,yes
tesseract psm 0,43,,LtMh82c,0.0,0.0,
tesseract psm 0,44,,WphodCL,0.0,0.0,
tesseract psm 0,45,,yHw7oO3,0.0,0.0,
tesseract psm 0,46,,QB9rUAk,0.0,0.0,
tesseract psm 0,47,,-Me14O7,0.0,0.0,
tesseract psm 0,48,,brnOOOD,0.0,0.0,yes
tesseract psm 0,49,,6L7DDAf,0.0,0.0,
tesseract psm 0,50,,zqZ2BfS,0.0,0.0,
tesseract psm 0,51,,EpvLOwg,0.0,0.0,
tesseract psm 0,52,,WkQJOrx,0.0,0.0,
tesseract psm 0,53,,rN9DPKA,0.0,0.0,
tesseract psm 0,54,,jiWpEYN,0.0,0.0,
tesseract psm 0,55,,I-Vi6V9,0.0,0.0,
tesseract psm 0,56,,pPw1Vju,0.0,0.0,
tesseract psm 0,57,,RP-8xfL,0.0,0.0,
tesseract psm 0,58,,0YipF9B,0.0,0.0,
tesseract psm 0,59,,XrYoLAg,0.0,0.0,
tesseract psm 0,60,,9ObwyF-,0.0,0.0,
tesseract psm 0,61,,ibJGt5R,0.0,0.0,
tesseract psm 0,62,,5mEoZUQ,0.0,0.0,
tesseract psm 0,63,,fRgX0dQ,0.0,0.0,
tesseract psm 0,64,,zLptzR2,0.0,0.0,
tesseract psm 0,65,,dkkwup0,0.0,0.0,
tesseract psm 0,66,,URMqiDu,0.0,0.0,
tesseract psm 0,67,,sT77bIm,0.0,0.0,
tesseract psm 0,68,,523zTU8,0.0,0.0,
tesseract psm 0,69,,ayqyb-d,0.0,0.0,
tesseract psm 0,70,,PPRc8cP,0.0,0.0,
tesseract psm 0,71,,l0Oo5JX,0.0,0.0,
tesseract psm 0,72,,tZube6W,0.0,0.0,
tesseract psm 0,73,,KJ5Xu0f,0.0,0.0,
tesseract psm 0,74,,LJcxQwF,0.0,0.0,
tesseract psm 0,75,,n11nYm7,0.0,0.0,
tesseract psm 0,76,,qJT8jXQ,0.0,0.0,yes
tesseract psm 0,77,,pt1XQRC,0.0,0.0,
tesseract psm 0,78,,yIkxVTY,0.0,0.0,
tesseract psm 0,79,,PbntXS-,0.0,0.0,
tesseract psm 0,80,,7e6wMEE,0.0,0.0,
tesseract psm 0,81,,TKTEsuM,0.0,0.0,
tesseract psm 0,82,,50TNkd7,0.0,0.0,
tesseract psm 0,83,,otb51QS,0.0,0.0,
tesseract psm 0,84,,21srAhI,0.0,0.0,
tesseract psm 0,85,,7wtcdKu,0.0,0.0,
tesseract psm 0,86,,2H1ZhBH,0.0,0.0,
tesseract psm 0,87,,G6OG1YG,0.0,0.0,yes
tesseract psm 0,88,,HprKqtU,0.0,0.0,
tesseract psm 0,89,,Pc9fcjM,0.0,0.0,
tesseract psm 0,90,,vs9kooB,0.0,0.0,
tesseract psm 0,91,,Z5eGiYd,0.0,0.0,yes
tesseract psm 0,92,,GfoXqeY,0.0,0.0,
tesseract psm 0,93,,lYxY7NK,0.0,0.0,
